task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"dom1_pl_lights_lights-dining_room_light_off","assistant","Good","light","dom1_pl_lights_lights","Dining room light off","Turned off the light","","{}"
"dom1_pl_lights_lights-kitchen_light_off","assistant","Good","light","dom1_pl_lights_lights","Kitchen light off","Turned off the light","","{}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","assistant","Good","light","dom1_pl_lights_lights","Please turn on the kitchen light","Turned on the light","","{}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","assistant","Good","light","dom1_pl_lights_lights","Turn on the Backyard light","Turned on the lights","","{}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","assistant","Good","light","dom1_pl_lights_lights","Turn on the living room light","Turned on the light","","{}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","assistant","Bad","todo","dom1_pl_todo_todo","Add clean the kitchen to my todo list","Sorry, I am not aware of any device called todo list","","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","assistant","Good","todo","dom1_pl_todo_todo","Add history homework to my personal tasks","Added history homework","","{}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","assistant","Bad","todo","dom1_pl_todo_todo","Add history homework to my tasks","Sorry, I am not aware of any device called tasks","","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","assistant","Bad","todo","dom1_pl_todo_todo","Put history homework on personal tasks todo list","Sorry, I couldn't understand that","","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"home1_us_cover_garage_cover_garage-close_the_garage_door","assistant","Good","cover","home1_us_cover_garage_cover_garage","Close the garage door","Closed the garage","","{}"
"home1_us_cover_garage_cover_garage-open_the_garage_door","assistant","Good","cover","home1_us_cover_garage_cover_garage","Open the garage door","Opened the garage","","{}"
"home1_us_cover_garage_cover_garage-please_close_the_garage_door","assistant","Good","cover","home1_us_cover_garage_cover_garage","Please close the garage door","Closed the garage","","{}"
"home1_us_cover_garage_cover_garage-please_open_the_garage_door","assistant","Good","cover","home1_us_cover_garage_cover_garage","Please open the garage door","Opened the garage","","{}"
"home1_us_lock_smart_lock-lock_smart_lock","assistant","Bad","lock","home1_us_lock_smart_lock","Lock smart lock","Sorry, there are multiple devices called Smart Lock","","{'lock.smart_lock': {'expected': {'state': 'locked'}, 'got': {'state': 'unlocked'}}}"
"home1_us_lock_smart_lock-lock_the_entry_lock","assistant","Good","lock","home1_us_lock_smart_lock","Lock the entry lock","Locked","","{}"
"home1_us_lock_smart_lock-unlock_smart_lock","assistant","Bad","lock","home1_us_lock_smart_lock","Unlock smart lock","Sorry, there are multiple devices called Smart Lock","","{'lock.smart_lock': {'expected': {'state': 'unlocked'}, 'got': {'state': 'locked'}}}"
"home1_us_lock_smart_lock-unlock_the_entry_lock","assistant","Good","lock","home1_us_lock_smart_lock","Unlock the entry lock","Unlocked","","{}"
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base","assistant","Good","vacuum","home1_us_vacuum_vacuum","Return Roborock Downstairs to base","Returning","","{}"
"home1_us_vacuum_vacuum-return_vaccuum_in_the_living_room_to_base","assistant","Bad","vacuum","home1_us_vacuum_vacuum","Return vaccuum in the living room to base","Sorry, I am not aware of any device called vaccuum in the living room","","{'vacuum.roborock_downstairs': {'expected': {'state': 'returning'}, 'got': {'state': 'cleaning'}}}"
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum","assistant","Bad","vacuum","home1_us_vacuum_vacuum","Start Roborock Downstairs vacuum","Sorry, I couldn't understand that","","{'vacuum.roborock_downstairs': {'expected': {'state': 'cleaning'}, 'got': {'state': 'off'}}}"
"home1_us_vacuum_vacuum-start_vaccuum_in_the_living_room","assistant","Bad","vacuum","home1_us_vacuum_vacuum","Start vaccuum in the living room","Sorry, I am not aware of any device called vaccuum in the living room","","{'vacuum.roborock_downstairs': {'expected': {'state': 'cleaning'}, 'got': {'state': 'off'}}}"
"home2_ru_valve_water_valve-close_the_front_yard_valve","assistant","Bad","valve","home2_ru_valve_water_valve","close the front yard valve","Sorry, I am not aware of any device called front yard valve","","{'valve.irrigation_valve': {'expected': {'current_position': 0, 'state': 'closed'}, 'got': {'current_position': 100, 'state': 'open'}}}"
"home2_ru_valve_water_valve-close_the_irrigation_valve","assistant","Good","valve","home2_ru_valve_water_valve","close the irrigation valve","Closed","","{}"
"home2_ru_valve_water_valve-open_the_front_yard_valve","assistant","Bad","valve","home2_ru_valve_water_valve","open the front yard valve","Sorry, I am not aware of any device called front yard valve","","{'valve.irrigation_valve': {'expected': {'current_position': 100, 'state': 'open'}, 'got': {'current_position': 0, 'state': 'closed'}}}"
"home2_ru_valve_water_valve-open_the_irrigation_valve","assistant","Good","valve","home2_ru_valve_water_valve","open the irrigation valve","Opened","","{}"
"home2_ru_valve_water_valve-set_the_irrigation_valve_to_50","assistant","Good","valve","home2_ru_valve_water_valve","set the irrigation valve to 50%","Position set","","{}"
