model_id,task_prefix,category,label,text,response,tool_call,entity_diff
"gemini-2.0-flash","dom1_pl_lights_lights","light","Good","Please turn on the kitchen light","OK. I've turned on the kitchen light.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Kitchen Light'}}","{}"
"gemini-2.0-flash","dom1_pl_lights_lights","light","Good","Turn on the living room light","OK. The living room light is on.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Living Room Light'}}","{}"
"gemini-2.0-flash","dom1_pl_lights_lights","light","Good","Turn on the Backyard light","Okay, I've turned on the Backyard light.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Garden Light'}}","{}"
"gemini-2.0-flash","dom1_pl_lights_lights","light","Good","Kitchen light off","OK.  Turned off the Kitchen Light.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'name': 'Kitchen Light'}}","{}"
"gemini-2.0-flash","dom1_pl_lights_lights","light","Good","Dining room light off","OK. Dining room light is off.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'name': 'Dining Room Light'}}","{}"
"gemini-2.0-flash","dom1_pl_todo_todo","todo","Good","Put history homework on personal tasks todo list","OK. I've added history homework to your personal tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"gemini-2.0-flash","dom1_pl_todo_todo","todo","Good","Add history homework to my personal tasks","OK. I've added history homework to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"gemini-2.0-flash","dom1_pl_todo_todo","todo","Good","Add history homework to my tasks","OK. I've added history homework to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"gemini-2.0-flash","dom1_pl_todo_todo","todo","Good","Add clean the kitchen to my todo list","OK. I've added 'clean the kitchen' to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"gemini-2.0-flash","home1_us_cover_garage_cover_garage","cover","Good","Close the garage door","OK. Closing the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}","{}"
"gemini-2.0-flash","home1_us_cover_garage_cover_garage","cover","Good","Please close the garage door","OK. Closing the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}","{}"
"gemini-2.0-flash","home1_us_cover_garage_cover_garage","cover","Good","Please open the garage door","OK. I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}","{}"
"gemini-2.0-flash","home1_us_cover_garage_cover_garage","cover","Good","Open the garage door","OK. I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}","{}"
"gemini-2.0-flash","home1_us_lock_smart_lock","lock","Good","Lock smart lock","OK. I've locked the smart lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'lock', 'name': 'Smart Lock'}}","{}"
"gemini-2.0-flash","home1_us_lock_smart_lock","lock","Good","Lock the entry lock","OK. I've locked the entry lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}","{}"
"gemini-2.0-flash","home1_us_lock_smart_lock","lock","Good","Unlock smart lock","OK. I've unlocked the smart lock.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': 'lock', 'name': 'Smart Lock'}}","{}"
"gemini-2.0-flash","home1_us_lock_smart_lock","lock","Good","Unlock the entry lock","OK.  The entry lock is now unlocked.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}","{}"
"gemini-2.0-flash","home1_us_vacuum_vacuum","vacuum","Good","Start vacuum in the living room","Okay, starting the Roborock Downstairs vacuum in the Living Room.","{'tool_name': 'HassVacuumStart', 'tool_args': {'name': 'Roborock Downstairs', 'area': 'Living Room'}}","{}"
"gemini-2.0-flash","home1_us_vacuum_vacuum","vacuum","Good","Start Roborock Downstairs vacuum","OK. I started Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}","{}"
"gemini-2.0-flash","home1_us_vacuum_vacuum","vacuum","Good","Return Roborock Downstairs to base","OK. Roborock Downstairs is returning to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}","{}"
"gemini-2.0-flash","home1_us_vacuum_vacuum","vacuum","Good","Return vacuum in the living room to base","OK.  Sent Roborock Downstairs in the Living Room back to its base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'area': 'Living Room', 'name': 'Roborock Downstairs'}}","{}"
"gemini-2.0-flash","home2_ru_valve_water_valve","valve","Good","open the front yard valve","OK. I've opened the front yard valve.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}","{}"
"gemini-2.0-flash","home2_ru_valve_water_valve","valve","Good","open the irrigation valve","OK. I've opened the irrigation valve.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}","{}"
"gemini-2.0-flash","home2_ru_valve_water_valve","valve","Good","close the front yard valve","OK. Closed the front yard valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}","{}"
"gemini-2.0-flash","home2_ru_valve_water_valve","valve","Good","close the irrigation valve","OK. I've closed the irrigation valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}","{}"
"gemini-2.0-flash","home2_ru_valve_water_valve","valve","Good","set the irrigation valve to 50%","OK. I've set the irrigation valve to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': ['valve'], 'name': 'Irrigation Valve'}}","{}"
"gemini-2.0-flash","home5_cn_fan_fan","fan","Good","Turn on the bedroom 1 fan","OK. The bedroom 1 fan is on.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['fan'], 'name': 'Bedroom Fan'}}","{}"
"gemini-2.0-flash","home5_cn_fan_fan","fan","Good","Turn on the bedroom fan","OK. I've turned on the bedroom fan.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'fan', 'name': 'Bedroom Fan'}}","{}"
"gemini-2.0-flash","home5_cn_fan_fan","fan","Good","Turn off the bedroom fan","OK. Turned off the bedroom fan.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['fan'], 'name': 'Bedroom Fan'}}","{}"
"gemini-2.0-flash","home5_cn_fan_fan","fan","Good","Turn off the bedroom 1 fan","OK. Turned off the bedroom fan.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['fan'], 'name': 'Bedroom Fan'}}","{}"
"gemini-2.0-flash","home5_cn_light_light","light","Bad","Set the living room light to 50% brightness","OK. I've set the living room light to 50% brightness.","{'tool_name': 'HassLightSet', 'tool_args': {'brightness': 128.0, 'name': 'Living Room Light'}}","{'light.living_room_light': {'expected': {'brightness': 128}, 'got': {'brightness': 255}}}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Open the smart curtain","OK. I've opened the smart curtain.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Open the living room smart curtain","OK.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'cover', 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Open the living room curtains","OK. I've opened the living room curtains.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Close the smart cutains","OK. The smart curtains are now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Close the living room smart curtain","OK.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Close the living room curtains","OK. The living room curtains are now closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Set the smart curtain to 50%","OK. Setting the smart curtain to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_cover_curtain_cover_curtain","cover","Good","Set the living room curtains to 50%","OK. Setting the living room curtains to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'position': 50.0, 'domain': ['cover'], 'name': 'Smart Curtain'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Pause Outdoor Speakers","OK. Paused Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Stop the Outdoor Speakers","OK. Stopped Outdoor Speakers.","{'tool_name': 'HassMediaPause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Pause the Rooftop Terrace music","OK. Paused the music on Rooftop Terrace.","{'tool_name': 'HassMediaPause', 'tool_args': {'device_class': ['speaker'], 'domain': ['media_player'], 'area': 'Rooftop Terrace'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Resume Outdoor Speakers","OK. Resumed Outdoor Speakers.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Unpause the Rooftop Terrace music","OK. Unpaused music on Rooftop Terrace.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'domain': ['media_player'], 'device_class': ['speaker'], 'area': 'Rooftop Terrace'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Skip song on outdoor speakers","OK. Skipping song.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Good","Skip to the next track on the outdoor speakers","OK. Skipping to the next track.","{'tool_name': 'HassMediaNext', 'tool_args': {'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{}"
"gemini-2.0-flash","home7_dk_media_player_media_player","media-player","Bad","Set outdoor speakers volume to 50%","Done.","{'tool_name': 'HassSetVolume', 'tool_args': {'volume_level': 0.5, 'domain': ['media_player'], 'name': 'Outdoor Speakers'}}","{'media_player.outdoor_speakers': {'expected': {'volume_level': 0.5}, 'got': {'volume_level': 0.0}}}"
