task_id,model_id,label,category,task_prefix,text,response,tool_call,details
"dom1_pl_lights-kitchen_light_off","claude-3-haiku","Good","light","reports/assist/2025.4.0b/claude","Kitchen light off","Turned off the Kitchen Light.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Kitchen Light', 'domain': 'light'}}","ABC"
"dom1_pl_lights-please_turn_on_the_kitchen_light","claude-3-haiku","Good","light","reports/assist/2025.4.0b/claude","Please turn on the kitchen light","The kitchen light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light'], 'area': 'Kitchen'}}","ABC"
"dom1_pl_todo-add_apples_to_my_trader_joe_s_list","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","add apples to my trader joe's list","I've added 'apples' to your Trader Joe's todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","ABC"
"dom1_pl_todo-add_clean_the_kitchen_to_my_todo_list","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","Add clean the kitchen to my todo list","I've added 'Clean the kitchen' to your Personal Tasks todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'Clean the kitchen'}}","ABC"
"dom1_pl_todo-add_history_homework_to_my_personal_tasks","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","Add history homework to my personal tasks","I've successfully added 'history homework' to the Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'history homework'}}","ABC"
"dom1_pl_todo-add_history_homework_to_my_tasks","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","Add history homework to my tasks","I've added 'history homework' to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'history homework'}}","ABC"
"dom1_pl_todo-put_apples_on_the_list","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","put apples on the list","I've added 'apples' to the Trader Joe's todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","ABC"
"dom1_pl_todo-put_apples_on_the_shopping_list","claude-3-haiku","Bad","todo","reports/assist/2025.4.0b/claude","put apples on the shopping list","Apples have been added to the Shopping List.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Shopping List', 'item': 'apples'}}","AssertionError: assert not {'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_trader_joes_list","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","put apples on the trader joes list","I've added 'apples' to the Trader Joe's todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","ABC"
"dom1_pl_todo-put_clean_the_kitchen_on_personal_tasks_list","claude-3-haiku","Good","todo","reports/assist/2025.4.0b/claude","Put clean the kitchen on personal tasks list","I've added 'clean the kitchen' to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'clean the kitchen'}}","ABC"
