task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"dom1_pl_lights_lights-dining_room_light_off","qwen2.5","Good","light","dom1_pl_lights_lights","Dining room light off","The Dining Room light is now off.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Dining Room', 'domain': ['light'], 'name': 'Dining Room Light'}}","{}"
"dom1_pl_lights_lights-kitchen_light_off","qwen2.5","Good","light","dom1_pl_lights_lights","Kitchen light off","The Kitchen light has been turned off.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Kitchen', 'domain': ['light'], 'name': 'Kitchen Light'}}","{}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","qwen2.5","Good","light","dom1_pl_lights_lights","Please turn on the kitchen light","The kitchen light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Kitchen', 'domain': ['light'], 'name': 'Kitchen Light'}}","{}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","qwen2.5","Good","light","dom1_pl_lights_lights","Turn on the Backyard light","The Backyard light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Backyard', 'domain': ['light'], 'name': 'Garden Light'}}","{}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","qwen2.5","Good","light","dom1_pl_lights_lights","Turn on the living room light","The Living Room Light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Living Room', 'domain': ['light'], 'name': 'Living Room Light'}}","{}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","qwen2.5","Good","todo","dom1_pl_todo_todo","Add clean the kitchen to my todo list","I've added 'clean the kitchen' to your todo list under Personal Tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","qwen2.5","Good","todo","dom1_pl_todo_todo","Add history homework to my personal tasks","I have added 'history homework' to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","qwen2.5","Good","todo","dom1_pl_todo_todo","Add history homework to my tasks","I have added 'history homework' to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","qwen2.5","Good","todo","dom1_pl_todo_todo","Put history homework on personal tasks todo list","I have added 'History homework' to your personal tasks todo list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History homework', 'name': 'Personal Tasks'}}","{}"
"home1_us_cover_garage_cover_garage-close_the_garage_door","qwen2.5","Good","cover","home1_us_cover_garage_cover_garage","Close the garage door","The garage door has been closed.","{'tool_name': 'HassTurnOff', 'tool_args': {'area': 'Garage', 'device_class': ['garage'], 'domain': ['cover'], 'name': 'Garage Door Opener'}}","{}"
