task_id,model_id,category,text,tool_call,response,task_name,label,details
"door_left_open_door_left_open-door_left_open-0","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","A media selector chooses the media to play, but it does not identify the speaker. Therefore, a separate `alert_player` input is required.\n\n```yaml\nblueprint:\n  name: Door left open alert\n  description: Play an alert on a speaker when a door remains open for a specified duration.\n  domain: automation\n  source_url: https://example.com/door-left-open.yaml\n\n  input:\n    door_sensor:\n      name: Door sensor\n      description: The binary sensor that detects whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n\n    alert_player:\n      name: Alert speaker\n      description: The media player that should play the alert.\n      selector:\n        entity:\n          domain: media_player\n\n    alert_media:\n      name: Alert media\n      description: The media file or media source to play.\n      selector:\n        media: {}\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: single\nmax_exceeded: silent\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_player\n    data:\n      media_content_id: !input alert_media\n      media_content_type: music\n```\n\nThe door sensor must report `on` while open. For example, set `open_duration` to `00:30:00` for a 30-minute delay.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-0","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","A media selector chooses the media to play, but it does not identify the speaker. Therefore, a separate `alert_player` input is required.\n\n```yaml\nblueprint:\n  name: Door left open alert\n  description: Play an alert on a speaker when a door remains open for a specified duration.\n  domain: automation\n  source_url: https://example.com/door-left-open.yaml\n\n  input:\n    door_sensor:\n      name: Door sensor\n      description: The binary sensor that detects whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n\n    alert_player:\n      name: Alert speaker\n      description: The media player that should play the alert.\n      selector:\n        entity:\n          domain: media_player\n\n    alert_media:\n      name: Alert media\n      description: The media file or media source to play.\n      selector:\n        media: {}\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: single\nmax_exceeded: silent\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_player\n    data:\n      media_content_id: !input alert_media\n      media_content_type: music\n```\n\nThe door sensor must report `on` while open. For example, set `open_duration` to `00:30:00` for a 30-minute delay.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-1","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","```yaml\nblueprint:\n  name: Door left open alert\n  description: Play an alert when a door has been open for a specified duration.\n  domain: automation\n  source_url: https://example.com/door-left-open.yaml\n\n  input:\n    door_sensor:\n      name: Door sensor\n      description: The binary sensor that detects whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class:\n            - door\n            - opening\n\n    alert_media:\n      name: Alert media\n      description: The media player and media to play as an alert.\n      selector:\n        media:\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before playing the alert.\n      selector:\n        duration:\n\nmode: restart\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    data: !input alert_media\n```\n\nThe `binary_sensor` must report `on` while the door is open. The alert will not play if the door closes before the specified duration.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-1","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","```yaml\nblueprint:\n  name: Door left open alert\n  description: Play an alert when a door has been open for a specified duration.\n  domain: automation\n  source_url: https://example.com/door-left-open.yaml\n\n  input:\n    door_sensor:\n      name: Door sensor\n      description: The binary sensor that detects whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class:\n            - door\n            - opening\n\n    alert_media:\n      name: Alert media\n      description: The media player and media to play as an alert.\n      selector:\n        media:\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before playing the alert.\n      selector:\n        duration:\n\nmode: restart\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    data: !input alert_media\n```\n\nThe `binary_sensor` must report `on` while the door is open. The alert will not play if the door closes before the specified duration.","door_left_open-test_door_open_plays_media","Good",""
"door_left_open_door_left_open-door_left_open-2","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","```yaml\nblueprint:\n  name: Door left open alert\n  description: Play selected media when a door has remained open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door sensor\n      description: The binary sensor that detects when the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n\n    alert_media:\n      name: Alert media\n      description: The media player and media to play.\n      selector:\n        media:\n          entity_id:\n            domain: media_player\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: single\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - variables:\n      selected_media: !input alert_media\n\n  - service: media_player.play_media\n    target:\n      entity_id: '{{ selected_media.entity_id }}'\n    data:\n      media_content_id: '{{ selected_media.media_content_id }}'\n      media_content_type: '{{ selected_media.media_content_type }}'\n```\n\nA binary sensor state of `on` is treated as the door being open. The alert will not play if the door closes before the configured duration expires.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-2","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","```yaml\nblueprint:\n  name: Door left open alert\n  description: Play selected media when a door has remained open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door sensor\n      description: The binary sensor that detects when the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n\n    alert_media:\n      name: Alert media\n      description: The media player and media to play.\n      selector:\n        media:\n          entity_id:\n            domain: media_player\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: single\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - variables:\n      selected_media: !input alert_media\n\n  - service: media_player.play_media\n    target:\n      entity_id: '{{ selected_media.entity_id }}'\n    data:\n      media_content_id: '{{ selected_media.media_content_id }}'\n      media_content_type: '{{ selected_media.media_content_type }}'\n```\n\nA binary sensor state of `on` is treated as the door being open. The alert will not play if the door closes before the configured duration expires.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-3","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","A valid blueprint needs a separate media player input. The `media` selector chooses the media to play, but it does not identify the speaker.\n\n```yaml\nblueprint:\n  name: Door left open alert\n  description: Play an alert on a media player when a door remains open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door sensor\n      description: Binary sensor that reports whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class:\n            - door\n            - opening\n\n    media_player:\n      name: Alert speaker\n      description: Media player that should play the alert.\n      selector:\n        entity:\n          domain: media_player\n\n    alert_media:\n      name: Alert media\n      description: Media file or sound to play.\n      selector:\n        media: {}\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: restart\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input media_player\n    data:\n      media_content_id: !input alert_media\n      media_content_type: music\n```\n\nSave it as:\n\n```text\nconfig/blueprints/automation/door_left_open_alert.yaml\n```\n\nThen reload automations and create an automation from the blueprint.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-3","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","A valid blueprint needs a separate media player input. The `media` selector chooses the media to play, but it does not identify the speaker.\n\n```yaml\nblueprint:\n  name: Door left open alert\n  description: Play an alert on a media player when a door remains open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door sensor\n      description: Binary sensor that reports whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class:\n            - door\n            - opening\n\n    media_player:\n      name: Alert speaker\n      description: Media player that should play the alert.\n      selector:\n        entity:\n          domain: media_player\n\n    alert_media:\n      name: Alert media\n      description: Media file or sound to play.\n      selector:\n        media: {}\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: restart\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input media_player\n    data:\n      media_content_id: !input alert_media\n      media_content_type: music\n```\n\nSave it as:\n\n```text\nconfig/blueprints/automation/door_left_open_alert.yaml\n```\n\nThen reload automations and create an automation from the blueprint.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-4","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","A media player must be specified separately from the media to play, so this blueprint uses four inputs: door sensor, speaker, media, and delay.\n\n```yaml\nblueprint:\n  name: Door left open alert\n  description: Play selected media on a speaker when a door remains open for a specified duration.\n  domain: automation\n\n  input:\n    door_sensor:\n      name: Door sensor\n      description: Binary sensor that reports whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class:\n            - door\n            - opening\n\n    alert_player:\n      name: Alert speaker\n      description: Media player that will play the alert.\n      selector:\n        entity:\n          domain: media_player\n          device_class:\n            - speaker\n\n    alert_media:\n      name: Alert media\n      description: Media file or media source to play.\n      selector:\n        media: {}\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: single\nmax_exceeded: silent\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_player\n    data:\n      media_content_id: !input alert_media\n      media_content_type: music\n```\n\nSave it as:\n\n```text\n/config/blueprints/automation/door_left_open_alert.yaml\n```\n\nThe alert plays once after the door has continuously remained open for the configured duration. Closing and reopening the door resets the timer.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-4","gpt-5.6-luna","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","A media player must be specified separately from the media to play, so this blueprint uses four inputs: door sensor, speaker, media, and delay.\n\n```yaml\nblueprint:\n  name: Door left open alert\n  description: Play selected media on a speaker when a door remains open for a specified duration.\n  domain: automation\n\n  input:\n    door_sensor:\n      name: Door sensor\n      description: Binary sensor that reports whether the door is open.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class:\n            - door\n            - opening\n\n    alert_player:\n      name: Alert speaker\n      description: Media player that will play the alert.\n      selector:\n        entity:\n          domain: media_player\n          device_class:\n            - speaker\n\n    alert_media:\n      name: Alert media\n      description: Media file or media source to play.\n      selector:\n        media: {}\n\n    open_duration:\n      name: Open duration\n      description: How long the door must remain open before the alert plays.\n      selector:\n        duration: {}\n\nmode: single\nmax_exceeded: silent\n\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\ncondition: []\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_player\n    data:\n      media_content_id: !input alert_media\n      media_content_type: music\n```\n\nSave it as:\n\n```text\n/config/blueprints/automation/door_left_open_alert.yaml\n```\n\nThe alert plays once after the door has continuously remained open for the configured duration. Closing and reopening the door resets the timer.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
