task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-allume_la_lumiere_de_la_cuisine_s_il_te_plait-0","devstral-2512","light","Allume la lumière de la cuisine s'il te plaît","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Lumière de la Cuisine', 'domain': ['light']}}","La lumière de la cuisine est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_de_la_cuisine_s_il_te_plait-1","devstral-2512","light","Allume la lumière de la cuisine s'il te plaît","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Lumière de la Cuisine', 'domain': ['light']}}","La lumière de la cuisine est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_de_la_cuisine_s_il_te_plait-2","devstral-2512","light","Allume la lumière de la cuisine s'il te plaît","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Cuisine'}}","La lumière de la cuisine est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_de_la_cuisine_s_il_te_plait-3","devstral-2512","light","Allume la lumière de la cuisine s'il te plaît","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Lumière de la Cuisine', 'domain': ['light']}}","La lumière de la cuisine est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_jardin-0","devstral-2512","light","Allume la lumière du jardin","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Jardin'}}","La lumière du jardin est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_jardin-1","devstral-2512","light","Allume la lumière du jardin","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Jardin'}}","La lumière du jardin est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_jardin-2","devstral-2512","light","Allume la lumière du jardin","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Lumière du Jardin', 'domain': ['light']}}","La lumière du jardin est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_jardin-3","devstral-2512","light","Allume la lumière du jardin","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Lumière du Jardin'}}","La lumière du jardin est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_salon-0","devstral-2512","light","Allume la lumière du salon","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Lumière du Salon'}}","La lumière du salon est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_salon-1","devstral-2512","light","Allume la lumière du salon","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Lumière du Salon', 'domain': ['light']}}","La lumière du salon est allumée.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-allume_la_lumiere_du_salon-2","devstral-2512","light","Allume la lumière du salon","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Lumière du Salon'}}","La lumière du salon est allumée.","eval-test_expected_states","Good",""
