task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights-bitte_schalte_das_licht_aus-0","devstral-2512","light","Bitte schalte das Licht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Das Licht im Wohnzimmer ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_das_licht_aus-1","devstral-2512","light","Bitte schalte das Licht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Das Licht im Wohnzimmer wurde ausgeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_das_licht_aus-2","devstral-2512","light","Bitte schalte das Licht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Das Licht im Wohnzimmer ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_das_licht_aus-3","devstral-2512","light","Bitte schalte das Licht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Das Licht im Wohnzimmer wurde ausgeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_das_licht_aus-4","devstral-2512","light","Bitte schalte das Licht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Licht im Wohnzimmer ist aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_die_kuchenlampe_ein-0","devstral-2512","light","Bitte schalte die Küchenlampe ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_die_kuchenlampe_ein-1","devstral-2512","light","Bitte schalte die Küchenlampe ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_die_kuchenlampe_ein-2","devstral-2512","light","Bitte schalte die Küchenlampe ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_die_kuchenlampe_ein-3","devstral-2512","light","Bitte schalte die Küchenlampe ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-bitte_schalte_die_kuchenlampe_ein-4","devstral-2512","light","Bitte schalte die Küchenlampe ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-kuchenlampe_aus-0","devstral-2512","light","Küchenlampe aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-kuchenlampe_aus-1","devstral-2512","light","Küchenlampe aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-kuchenlampe_aus-2","devstral-2512","light","Küchenlampe aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-kuchenlampe_aus-3","devstral-2512","light","Küchenlampe aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-kuchenlampe_aus-4","devstral-2512","light","Küchenlampe aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Die Küchenlampe ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_alle_schlafzimmerlampen_oben_an-0","devstral-2512","light","Mach alle Schlafzimmerlampen oben an","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Schlafzimmer 1', 'domain': ['light']}}","Alle Lampen in den Schlafzimmern sind jetzt an.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_1_light': {'expected': {'color_mode': None, 'state': 'off'}, 'got': {'color_mode': 'onoff', 'state': '... {'color_mode': 'onoff'}}, 'light.bedroom_4_light': {'expected': {'color_mode': None}, 'got': {'color_mode': 'onoff'}}}"
"dom1_pl_lights-mach_alle_schlafzimmerlampen_oben_an-1","devstral-2512","light","Mach alle Schlafzimmerlampen oben an","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Schlafzimmer 1', 'domain': ['light']}}","Alle Lampen in den Schlafzimmern sind jetzt an.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_1_light': {'expected': {'color_mode': None, 'state': 'off'}, 'got': {'color_mode': 'onoff', 'state': '... {'color_mode': 'onoff'}}, 'light.bedroom_4_light': {'expected': {'color_mode': None}, 'got': {'color_mode': 'onoff'}}}"
"dom1_pl_lights-mach_alle_schlafzimmerlampen_oben_an-2","devstral-2512","light","Mach alle Schlafzimmerlampen oben an","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Schlafzimmer 1', 'domain': ['light']}}","Alle Lampen in den Schlafzimmern sind jetzt an.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_1_light': {'expected': {'color_mode': None, 'state': 'off'}, 'got': {'color_mode': 'onoff', 'state': '... {'color_mode': 'onoff'}}, 'light.bedroom_4_light': {'expected': {'color_mode': None}, 'got': {'color_mode': 'onoff'}}}"
"dom1_pl_lights-mach_alle_schlafzimmerlampen_oben_an-3","devstral-2512","light","Mach alle Schlafzimmerlampen oben an","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Schlafzimmer 1', 'domain': ['light']}}","Alle Lampen in den Schlafzimmern sind jetzt an.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_1_light': {'expected': {'color_mode': None, 'state': 'off'}, 'got': {'color_mode': 'onoff', 'state': '... {'color_mode': 'onoff'}}, 'light.bedroom_4_light': {'expected': {'color_mode': None}, 'got': {'color_mode': 'onoff'}}}"
"dom1_pl_lights-mach_alle_schlafzimmerlampen_oben_an-4","devstral-2512","light","Mach alle Schlafzimmerlampen oben an","{'tool_name': 'HassTurnOn', 'tool_args': {'area': 'Schlafzimmer 1', 'domain': ['light']}}","Alle Schlafzimmerlampen sind jetzt an.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_1_light': {'expected': {'color_mode': None, 'state': 'off'}, 'got': {'color_mode': 'onoff', 'state': '... {'color_mode': 'onoff'}}, 'light.bedroom_4_light': {'expected': {'color_mode': None}, 'got': {'color_mode': 'onoff'}}}"
"dom1_pl_lights-mach_das_licht_in_der_kuche_an_und_dann_das_licht_im_wohnzimmer_aus-0","devstral-2512","light","Mach das Licht in der Küche an und dann das Licht im Wohnzimmer aus","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Das Licht in der Küche ist an und das Licht im Wohnzimmer ist aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_das_licht_in_der_kuche_an_und_dann_das_licht_im_wohnzimmer_aus-1","devstral-2512","light","Mach das Licht in der Küche an und dann das Licht im Wohnzimmer aus","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Das Licht in der Küche ist an und das Licht im Wohnzimmer ist aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_das_licht_in_der_kuche_an_und_dann_das_licht_im_wohnzimmer_aus-2","devstral-2512","light","Mach das Licht in der Küche an und dann das Licht im Wohnzimmer aus","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Das Licht in der Küche ist an und das Licht im Wohnzimmer ist aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_das_licht_in_der_kuche_an_und_dann_das_licht_im_wohnzimmer_aus-3","devstral-2512","light","Mach das Licht in der Küche an und dann das Licht im Wohnzimmer aus","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Das Licht in der Küche ist an und das Licht im Wohnzimmer ist aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_das_licht_in_der_kuche_an_und_dann_das_licht_im_wohnzimmer_aus-4","devstral-2512","light","Mach das Licht in der Küche an und dann das Licht im Wohnzimmer aus","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlampe', 'domain': ['light']}}","Das Licht in der Küche ist an und das Licht im Wohnzimmer ist aus.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_die_lichter_oben_aus-0","devstral-2512","light","Mach die Lichter oben aus","","Welche Lichter möchtest du ausschalten? Es gibt Lichter im Esszimmer, Küche, Garten, Garage, Wohnzimmer, Schlafzimmer 1, Schlafzimmer 2, Schlafzimmer 3 und Schlafzimmer 4.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ate': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_4_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-mach_die_lichter_oben_aus-1","devstral-2512","light","Mach die Lichter oben aus","","Welche Lichter möchtest du ausschalten? Es gibt Lichter im Esszimmer, Küche, Garten, Garage, Wohnzimmer, Schlafzimmer 1, Schlafzimmer 2, Schlafzimmer 3 und Schlafzimmer 4.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ate': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_4_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-mach_die_lichter_oben_aus-2","devstral-2512","light","Mach die Lichter oben aus","","Welche Lichter oben möchtest du ausschalten? Es gibt Lichter in mehreren Bereichen: Schlafzimmer 1, Schlafzimmer 2, Schlafzimmer 3 und Schlafzimmer 4.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ate': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_4_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-mach_die_lichter_oben_aus-3","devstral-2512","light","Mach die Lichter oben aus","","Welche Lichter oben? Es gibt Lichter in Schlafzimmer 1, Schlafzimmer 2, Schlafzimmer 3 und Schlafzimmer 4.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ate': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_4_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-mach_die_lichter_oben_aus-4","devstral-2512","light","Mach die Lichter oben aus","","In welchem Bereich sollen die Lichter ausgeschaltet werden?","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ate': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_4_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-mach_die_wohnzimmer_und_kuchenlampe_an-0","devstral-2512","light","Mach die Wohnzimmer- und Küchenlampe an","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Wohnzimmerlampe', 'domain': ['light']}}","Die Wohnzimmer- und Küchenlampe sind jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_die_wohnzimmer_und_kuchenlampe_an-1","devstral-2512","light","Mach die Wohnzimmer- und Küchenlampe an","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Wohnzimmerlampe', 'domain': ['light']}}","Die Wohnzimmer- und Küchenlampe sind jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights-mach_die_wohnzimmer_und_kuchenlampe_an-2","devstral-2512","light","Mach die Wohnzimmer- und Küchenlampe an","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Wohnzimmerlampe', 'domain': ['light']}}","Die Wohnzimmer- und Küchenlampe sind jetzt an.","eval-test_expected_states","Good",""
