task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-dining_room_light_off-0","jev","light","Dining room light off","","","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kitchen_light_off-0","jev","light","Kitchen light off","","","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light-0","jev","light","Please turn on the kitchen light","","","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_backyard_light-0","jev","light","Turn on the Backyard light","","","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-turn_on_the_living_room_light-0","jev","light","Turn on the living room light","","","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list-0","jev","todo","Add clean the kitchen to my todo list","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.DOMAIN: 4>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name=None, floor_name=None, domains={'vacuum'}, device_classes=None, features=<VacuumEntityFeature.CLEAN_AREA: 16384>, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id='kitchen', floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks-0","jev","todo","Add history homework to my personal tasks","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.DOMAIN: 4>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name='Kitchen', floor_name=None, domains={'light'}, device_classes=None, features=None, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks-0","jev","todo","Add history homework to my tasks","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.DOMAIN: 4>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name='Kitchen', floor_name=None, domains={'light'}, device_classes=None, features=None, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list-0","jev","todo","Put history homework on personal tasks todo list","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.AREA: 2>, states=[], no_match_name=None, areas=[AreaEntry(name='Kitchen', normalized_name='kitchen', created_at=datetime.datetime(2026, 9, 21, 15, 40, 1, 258778, tzinfo=datetime.timezone.utc), modified_at=datetime.datetime(2026, 9, 21, 15, 40, 1, 258780, tzinfo=datetime.timezone.utc), aliases=set(), floor_id=None, humidity_entity_id=None, icon=None, id='kitchen', labels=set(), picture=None, temperature_entity_id=None, _cache={})], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name='Kitchen', floor_name=None, domains=None, device_classes=None, features=None, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"home1_us_cover_garage_cover_garage-close_the_garage_door-0","jev","cover","Close the garage door","","","eval-test_expected_states","Bad","AssertionError: assert not {'cover.garage_door_opener': {'expected': {'state': 'closed'}, 'got': {'state': 'open'}}}"
"home1_us_cover_garage_cover_garage-open_the_garage_door-0","jev","cover","Open the garage door","","","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_close_the_garage_door-0","jev","cover","Please close the garage door","","","eval-test_expected_states","Good",""
"home1_us_cover_garage_cover_garage-please_open_the_garage_door-0","jev","cover","Please open the garage door","","","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_smart_lock-0","jev","lock","Lock smart lock","","","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-lock_the_entry_lock-0","jev","lock","Lock the entry lock","","","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_smart_lock-0","jev","lock","Unlock smart lock","","","eval-test_expected_states","Good",""
"home1_us_lock_smart_lock-unlock_the_entry_lock-0","jev","lock","Unlock the entry lock","","","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base-0","jev","vacuum","Return Roborock Downstairs to base","","","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-return_vacuum_in_the_living_room_to_base-0","jev","vacuum","Return vacuum in the living room to base","","","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum-0","jev","vacuum","Start Roborock Downstairs vacuum","","","eval-test_expected_states","Good",""
"home1_us_vacuum_vacuum-start_vacuum_in_the_living_room-0","jev","vacuum","Start vacuum in the living room","","","eval-test_expected_states","Good",""
"home2_ru_valve_water_valve-close_the_front_yard_valve-0","jev","valve","close the front yard valve","","","eval-test_expected_states","Good",""
"home2_ru_valve_water_valve-close_the_irrigation_valve-0","jev","valve","close the irrigation valve","","","eval-test_expected_states","Good",""
"home2_ru_valve_water_valve-open_the_front_yard_valve-0","jev","valve","open the front yard valve","","","eval-test_expected_states","Good",""
"home2_ru_valve_water_valve-open_the_irrigation_valve-0","jev","valve","open the irrigation valve","","","eval-test_expected_states","Good",""
"home2_ru_valve_water_valve-set_the_irrigation_valve_to_50-0","jev","valve","set the irrigation valve to 50%","","Received invalid slot info for HassLightSet","eval-test_expected_states","Bad","AssertionError: assert not {'valve.irrigation_valve': {'expected': {'current_position': 50, 'state': 'open'}, 'got': {'current_position': 0, 'state': 'closed'}}}"
"home5_cn_fan_fan-turn_off_the_bedroom_1_fan-0","jev","fan","Turn off the bedroom 1 fan","","","eval-test_expected_states","Good",""
"home5_cn_fan_fan-turn_off_the_bedroom_fan-0","jev","fan","Turn off the bedroom fan","","","eval-test_expected_states","Good",""
"home5_cn_fan_fan-turn_on_the_bedroom_1_fan-0","jev","fan","Turn on the bedroom 1 fan","","","eval-test_expected_states","Good",""
"home5_cn_fan_fan-turn_on_the_bedroom_fan-0","jev","fan","Turn on the bedroom fan","","","eval-test_expected_states","Good",""
"home5_cn_light_light-set_the_living_room_light_to_50_brightness-0","jev","light","Set the living room light to 50% brightness","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_curtains-0","jev","cover","Close the living room curtains","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-close_the_living_room_smart_curtain-0","jev","cover","Close the living room smart curtain","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-close_the_smart_curtains-0","jev","cover","Close the smart curtains","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_curtains-0","jev","cover","Open the living room curtains","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-open_the_living_room_smart_curtain-0","jev","cover","Open the living room smart curtain","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-open_the_smart_curtain-0","jev","cover","Open the smart curtain","","","eval-test_expected_states","Good",""
"home7_dk_cover_curtain_cover_curtain-set_the_living_room_curtains_to_50-0","jev","cover","Set the living room curtains to 50%","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.DOMAIN: 4>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name='Living Room', floor_name=None, domains={'light'}, device_classes=None, features=None, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'cover.smart_curtain': {'expected': {'state': 'open'}, 'got': {'state': 'closed'}}}"
"home7_dk_cover_curtain_cover_curtain-set_the_smart_curtain_to_50-0","jev","cover","Set the smart curtain to 50%","","Received invalid slot info for HassLightSet","eval-test_expected_states","Bad","AssertionError: assert not {'cover.smart_curtain': {'expected': {'state': 'open'}, 'got': {'state': 'closed'}}}"
"home7_dk_media_player_media_player-mute_the_outdoor_speakers-0","jev","media-player","Mute the outdoor speakers","","","eval-test_expected_states","Bad","AssertionError: assert not {'media_player.outdoor_speakers': {'expected': {'is_volume_muted': None, 'volume_level': 0.0}, 'got': {'is_volume_muted': True, 'volume_level': 0.6}}}"
"home7_dk_media_player_media_player-pause_outdoor_speakers-0","jev","media-player","Pause Outdoor Speakers","","","eval-test_expected_states","Good",""
"home7_dk_media_player_media_player-pause_the_rooftop_terrace_music-0","jev","media-player","Pause the Rooftop Terrace music","","","eval-test_expected_states","Good",""
"home7_dk_media_player_media_player-resume_outdoor_speakers-0","jev","media-player","Resume Outdoor Speakers","","","eval-test_expected_states","Good",""
"home7_dk_media_player_media_player-set_outdoor_speakers_volume_to_50-0","jev","media-player","Set outdoor speakers volume to 50%","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.DOMAIN: 4>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name='Rooftop Terrace', floor_name=None, domains={'light'}, device_classes=None, features=None, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'media_player.outdoor_speakers': {'expected': {'volume_level': 0.5}, 'got': {'volume_level': 0.9}}}"
"home7_dk_media_player_media_player-skip_song_on_outdoor_speakers-0","jev","media-player","Skip song on outdoor speakers","","","eval-test_expected_states","Good",""
"home7_dk_media_player_media_player-skip_to_the_next_track_on_the_outdoor_speakers-0","jev","media-player","Skip to the next track on the outdoor speakers","","","eval-test_expected_states","Good",""
