task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-apaga_la_luz_de_la_cocina-0","devstral-2512","light","Apaga la luz de la cocina","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz de la Cocina', 'domain': ['light']}}","La luz de la cocina ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_de_la_cocina-1","devstral-2512","light","Apaga la luz de la cocina","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz de la Cocina', 'domain': ['light']}}","La luz de la cocina ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_de_la_cocina-2","devstral-2512","light","Apaga la luz de la cocina","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz de la Cocina', 'domain': ['light']}}","La luz de la cocina ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_de_la_cocina-3","devstral-2512","light","Apaga la luz de la cocina","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz de la Cocina', 'domain': ['light']}}","La luz de la cocina ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_del_comedor-0","devstral-2512","light","Apaga la luz del comedor","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz del Comedor', 'domain': ['light']}}","La luz del comedor ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_del_comedor-1","devstral-2512","light","Apaga la luz del comedor","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz del Comedor', 'domain': ['light']}}","La luz del comedor ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_del_comedor-2","devstral-2512","light","Apaga la luz del comedor","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz del Comedor', 'domain': ['light']}}","La luz del comedor ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-apaga_la_luz_del_comedor-3","devstral-2512","light","Apaga la luz del comedor","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Luz del Comedor', 'domain': ['light']}}","La luz del comedor ha sido apagada.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-enciende_la_luz_del_jardin_trasero-0","devstral-2512","light","Enciende la luz del jardín trasero","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Luz del Jardín', 'domain': ['light']}}","Listo, la luz del jardín trasero está encendida.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-enciende_la_luz_del_jardin_trasero-1","devstral-2512","light","Enciende la luz del jardín trasero","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Luz del Jardín', 'domain': ['light']}}","La luz del jardín trasero está encendida.","eval-test_expected_states","Good",""
