model_id,task_prefix,category,label,text,response,tool_call,entity_diff
"assistant","home7_dk_media_player","media-player","Bad","Pause the Rooftop Terrace music","Sorry, I am not aware of any device called rooftop terrace music","None","{'media_player.outdoor_speakers': {'expected': {'state': 'paused'}, 'got': {'state': 'playing'}}}"
"assistant","home5_cn_fan","fan","Good","Turn on the bedroom 1 fan","Turned on the fans","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","turn on the lights in the living room","Turned on the lights","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","turn on all the lights in living room","Turned on the lights","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","Turn on all the lights on the first floor","Turned on the lights","None","{}"
"assistant","home7_dk_cover_curtain","cover","Bad","Open the living room curtains","Sorry, I am not aware of any curtain in the Living Room area","None","{'cover.smart_curtain': {'expected': {'state': 'opening'}, 'got': {'state': 'open'}}}"
"assistant","intents_en_light_hassturnon","light","Good","turn on all the living room lights","Turned on the lights","None","{}"
"assistant","home7_dk_media_player","media-player","Bad","Stop the music","Sorry, I couldn't understand that","None","{'media_player.outdoor_speakers': {'expected': {'state': 'paused'}, 'got': {'state': 'playing'}}}"
"assistant","dom1_pl_todo","light","Good","Put history homework on personal tasks list","Added history homework","None","{}"
"assistant","home7_dk_media_player","media-player","Good","Unpause the Outdoor Speakers","Unpaused","None","{}"
"assistant","home7_dk_media_player","media-player","Bad","Pause the music outside","Sorry, I am not aware of any device called music outside","None","{'media_player.outdoor_speakers': {'expected': {'state': 'paused'}, 'got': {'state': 'playing'}}}"
"assistant","home7_dk_media_player","media-player","Good","Skip song on outdoor speakers","Playing next","None","{}"
"assistant","home1_us_smart_lock","lock","Bad","Unlock smart lock","Sorry, there are multiple devices called Smart Lock","None","{'lock.smart_lock': {'expected': {'state': 'unlocked'}, 'got': {'state': 'locked'}}}"
"assistant","intents_en_light_hassturnon","light","Good","turn on all living room lights","Turned on the lights","None","{}"
"assistant","home5_cn_fan","fan","Good","Turn off the bedroom fan","Turned off the fan","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","living room lighting on","Turned on the lights","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","turn on the light in living room","Turned on the lights","None","{}"
"assistant","home2_ru_water_valve","valve","Good","close the irrigation valve","Closed","None","{}"
"assistant","home7_dk_media_player","media-player","Bad","Next song","Sorry, I am not aware of any device called song","None","{'media_player.outdoor_speakers': {'expected': {'media_track': 2}, 'got': {'media_track': 1}}}"
"assistant","intents_en_light_hassturnon","light","Good","turn on the lights in living room","Turned on the lights","None","{}"
"assistant","home1_us_vacuum","vacuum","Bad","Vacuum return to base","Sorry, I couldn't understand that","None","{'vacuum.roborock_downstairs': {'expected': {'state': 'returning'}, 'got': {'state': 'cleaning'}}}"
"assistant","home7_dk_media_player","media-player","Bad","Skip to the next track","Sorry, I am not aware of any device called track","None","{'media_player.outdoor_speakers': {'expected': {'media_track': 2}, 'got': {'media_track': 1}}}"
"assistant","home1_us_vacuum","vacuum","Bad","Clean the living room","Sorry, I couldn't understand that","None","{'vacuum.roborock_downstairs': {'expected': {'state': 'cleaning'}, 'got': {'state': 'off'}}}"
"assistant","dom1_pl_todo","light","Bad","Add clean the kitchen to my todo list","Sorry, I am not aware of any device called todo list","None","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"assistant","intents_en_light_hassturnon","light","Good","turn the light in living room on","Turned on the lights","None","{}"
"assistant","home2_ru_water_valve","valve","Bad","turn off the water in the front yard","Sorry, I am not aware of any device called water in the front yard area","None","{'valve.irrigation_valve': {'expected': {'state': 'closed', 'current_position': 0}, 'got': {'state': 'open', 'current_position': 100}}}"
"assistant","dom1_pl_todo","light","Bad","Add history homework to my tasks","Sorry, I am not aware of any device called tasks","None","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"assistant","intents_en_light_hassturnon","light","Good","turn on living room lights","Turned on the lights","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","living room lights on","Turned on the lights","None","{}"
"assistant","dom1_pl_todo","light","Bad","Put history homework on my task list","Sorry, I am not aware of any device called task list","None","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"assistant","dom1_pl_light_turn_on","light","Good","Please turn on the kitchen light","Turned on the light","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","turn the lighting in the living room on","Turned on the lights","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","turn the living room lights on","Turned on the lights","None","{}"
"assistant","intents_en_light_hassturnon","light","Good","turn on the light in the living room","Turned on the lights","None","{}"
"assistant","home1_us_smart_lock","lock","Bad","Lock the front door lock","Sorry, I am not aware of any device called front door lock","None","{'lock.smart_lock': {'expected': {'state': 'locked'}, 'got': {'state': 'unlocked'}}}"
"assistant","home1_us_cover_garage","cover","Good","Please open the garage door","Opened the garage","None","{}"
"assistant","home2_ru_water_valve","valve","Bad","open the front yard valve","Sorry, I am not aware of any device called front yard valve","None","{'valve.irrigation_valve': {'expected': {'state': 'open', 'current_position': 100}, 'got': {'state': 'closed', 'current_position': 0}}}"
"assistant","intents_en_light_hassturnon","light","Good","turn on living room light","Turned on the lights","None","{}"
"assistant","home2_ru_water_valve","valve","Bad","close the front yard valve","Sorry, I am not aware of any device called front yard valve","None","{'valve.irrigation_valve': {'expected': {'state': 'closed', 'current_position': 0}, 'got': {'state': 'open', 'current_position': 100}}}"
