task_id,model_id,label,category,task_prefix,text,response,tool_call,entity_diff
"dom1_pl_lights-kitchen_light_off","functionary-small-v2.5","Bad","light","dom1_pl_lights","Kitchen light off","I'm sorry, but it seems that there is no light entity named 'kitchen_light' in the smart home. Please double-check the name and try again.'m sorry, but it seems that there is no light entity named 'kitchen_light' in the smart home. Please double-check the name and try again.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'kitchen_light', 'domain': ['light']}}","{'light.kitchen_light': {'expected': {'brightness': None, 'color_mode': None, 'state': 'off'}, 'got': {'brightness': 100, 'color_mode': 'brightness', 'state': 'on'}}}"
"dom1_pl_lights-please_turn_on_the_kitchen_light","functionary-small-v2.5","Good","light","dom1_pl_lights","Please turn on the kitchen light","The kitchen light has been turned on. kitchen light has been turned on.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'area': 'Kitchen'}}","{}"
"dom1_pl_todo-add_apples_to_my_trader_joe_s_list","functionary-small-v2.5","Good","todo","dom1_pl_todo","add apples to my trader joe's list","Apples have been added to your Trader Joe's shopping list.les have been added to your Trader Joe's shopping list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","{}"
"dom1_pl_todo-add_clean_the_kitchen_to_my_todo_list","functionary-small-v2.5","Good","todo","dom1_pl_todo","Add clean the kitchen to my todo list","The task 'Clean the kitchen' has been successfully added to your todo list. You can now see it under the category 'Personal Tasks'. If you need any more assistance, feel free to ask! task 'Clean the kitchen' has been successfully added to your todo list. You can now see it under the category 'Personal Tasks'. If you need any more assistance, feel free to ask!","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'Clean the kitchen'}}","{}"
"dom1_pl_todo-add_history_homework_to_my_personal_tasks","functionary-small-v2.5","Good","todo","dom1_pl_todo","Add history homework to my personal tasks","The history homework has been successfully added to your personal tasks. history homework has been successfully added to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History Homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo-add_history_homework_to_my_tasks","functionary-small-v2.5","Good","todo","dom1_pl_todo","Add history homework to my tasks","The history homework has been successfully added to your tasks. history homework has been successfully added to your tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History Homework', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo-put_apples_on_the_list","functionary-small-v2.5","Bad","todo","dom1_pl_todo","put apples on the list","I'm sorry, but it seems there was an error processing your request. Please try again later.'m sorry, but it seems there was an error processing your request. Please try again later.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples'}}","{'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_shopping_list","functionary-small-v2.5","Bad","todo","dom1_pl_todo","put apples on the shopping list","I apologize for the inconvenience, but it seems there was an error adding 'apples' to the shopping list. Please try again in a moment when the system is available. apologize for the inconvenience, but it seems there was an error adding 'apples' to the shopping list. Please try again in a moment when the system is available.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Shopping List'}}","{'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_trader_joes_list","functionary-small-v2.5","Good","todo","dom1_pl_todo","put apples on the trader joes list","Apples have been added to your Trader Joe's list.les have been added to your Trader Joe's list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'apples', 'name': 'Trader Joe's'}}","{}"
"dom1_pl_todo-put_clean_the_kitchen_on_personal_tasks_list","functionary-small-v2.5","Good","todo","dom1_pl_todo","Put clean the kitchen on personal tasks list","Clean the kitchen has been added to your personal tasks list. the kitchen has been added to your personal tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'clean the kitchen', 'name': 'Personal Tasks'}}","{}"
"dom1_pl_todo-put_history_homework_on_my_task_list","functionary-small-v2.5","Bad","todo","dom1_pl_todo","Put history homework on my task list","I'm sorry, but there was an issue adding the task to your list. Please try again or let me know if you need assistance with anything else.'m sorry, but there was an issue adding the task to your list. Please try again or let me know if you need assistance with anything else.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'History Homework'}}","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_history_homework_on_personal_tasks_list","functionary-small-v2.5","Bad","todo","dom1_pl_todo","Put history homework on personal tasks list","I apologize, but it seems there was an error adding the history homework to your personal tasks list. Please try again later or check if the todo list is up and running properly. If you need further assistance with this task, feel free to ask! apologize, but it seems there was an error adding the history homework to your personal tasks list. Please try again later or check if the todo list is up and running properly. If you need further assistance with this task, feel free to ask!","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework'}}","{'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"home1_us_cover_garage-close_the_garage_door","functionary-small-v2.5","Bad","cover","home1_us_cover_garage","Close the garage door","It appears that the tool for controlling the garage door is not available in this Home Assistant environment. If you have any other requests or need assistance with a different device, feel free to ask! appears that the tool for controlling the garage door is not available in this Home Assistant environment. If you have any other requests or need assistance with a different device, feel free to ask!","{'tool_name': 'cover.garage_door_opener', 'tool_args': {'state': 'close', 'areas': 'Garage'}}","{'cover.garage_door_opener': {'expected': {'state': 'closed'}, 'got': {'state': 'open'}}}"
"home1_us_cover_garage-open_the_garage_door","functionary-small-v2.5","Bad","cover","home1_us_cover_garage","Open the garage door","I'm sorry, but it seems that there is no tool available to control the garage door in Home Assistant. Is there anything else I can assist you with?'m sorry, but it seems that there is no tool available to control the garage door in Home Assistant. Is there anything else I can assist you with?","{'tool_name': 'HassCoverGarageDoorOpener', 'tool_args': {'name': 'garage_door_opener', 'device_class': ['garage']}}","{'cover.garage_door_opener': {'expected': {'state': 'open'}, 'got': {'state': 'closed'}}}"
"home1_us_cover_garage-please_open_the_garage_door","functionary-small-v2.5","Bad","cover","home1_us_cover_garage","Please open the garage door","I'm sorry, but it seems there's an issue with opening the garage door. The tool required to open it is currently unavailable. You may need to check if the garage door controller or the Home Assistant software that controls it needs updating.'m sorry, but it seems there's an issue with opening the garage door. The tool required to open it is currently unavailable. You may need to check if the garage door controller or the Home Assistant software that controls it needs updating.I'm sorry, but it seems there's an issue with opening the garage door. The tool required to open it is currently unavailable. You may need to check if the garage door controller or the Home Assistant software that controls it needs updating. Please try again later or consider using an alternative method to control your garage door. try again later or consider using an alternative method to control your garage door.","{'tool_name': 'cover.garage_door_opener', 'tool_args': {'state': 'open'}}","{'cover.garage_door_opener': {'expected': {'state': 'open'}, 'got': {'state': 'closed'}}}"
