task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights-kitchen_light_off-0","laya","light","Kitchen light off","","","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_off_the_light-0","laya","light","Please turn off the light","","","eval-test_expected_states","Good",""
"dom1_pl_lights-please_turn_on_the_kitchen_light-0","laya","light","Please turn on the kitchen light","","","eval-test_expected_states","Good",""
"dom1_pl_lights-shut_off_the_upstairs_lights_please-0","laya","light","Shut off the upstairs lights please","","","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ss': 100, 'color_mode': 'brightness', 'state': 'on'}, 'got': {'brightness': None, 'color_mode': None, 'state': 'off'}}}"
"dom1_pl_lights-turn_off_the_light-0","laya","light","Turn off the light","","","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_1_light': {'expected': {'color_mode': 'onoff', 'state': 'on'}, 'got': {'color_mode': None, 'state': 'off'}}}"
"dom1_pl_lights-turn_off_the_lights_upstairs-0","laya","light","Turn off the lights upstairs","","","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.bedroom_3_light': {'expected'...ss': 100, 'color_mode': 'brightness', 'state': 'on'}, 'got': {'brightness': None, 'color_mode': None, 'state': 'off'}}}"
"dom1_pl_lights-turn_off_the_living_room_light_then_turn_on_the_kitchen_light-0","laya","light","Turn off the living room light then turn on the kitchen light","","I heard multiple requests. Please give one command at a time or configure a System 2 fallback agent.","eval-test_expected_states","Bad","AssertionError: assert not {'light.living_room_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-turn_on_all_the_bedroom_lights_upstairs-0","laya","light","Turn on all the bedroom lights upstairs","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-turn_on_all_the_upstairs_lights-0","laya","light","Turn on all the upstairs lights","","","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-turn_on_both_the_kitchen_light_and_living_room_lights-0","laya","light","Turn on both the kitchen light and living room lights","","I heard multiple requests. Please give one command at a time or configure a System 2 fallback agent.","eval-test_expected_states","Good",""
"dom1_pl_lights-turn_on_the_kitchen_light_and_then_turn_off_the_living_room_light-0","laya","light","Turn on the kitchen light and then turn off the living room light","","I heard multiple requests. Please give one command at a time or configure a System 2 fallback agent.","eval-test_expected_states","Bad","AssertionError: assert not {'light.living_room_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-turn_on_the_light_in_the_kitchen_then_turn_off_the_light_in_the_living_room-0","laya","light","Turn on the light in the kitchen, then turn off the light in the living room","","I heard multiple requests. Please give one command at a time or configure a System 2 fallback agent.","eval-test_expected_states","Bad","AssertionError: assert not {'light.living_room_light': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"dom1_pl_lights-turn_on_the_living_room_and_kitchen_lights-0","laya","light","Turn on the living room and kitchen lights","","","eval-test_expected_states","Good",""
"dom1_pl_todo-add_apples_to_my_trader_joe_s_list-0","laya","todo","add apples to my trader joe's list","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","AssertionError: assert not {'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-add_history_homework_to_my_personal_tasks-0","laya","todo","Add history homework to my personal tasks","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","AssertionError: assert not {'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-add_history_homework_to_my_tasks-0","laya","todo","Add history homework to my tasks","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","AssertionError: assert not {'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_shopping_list-0","laya","todo","put apples on the shopping list","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","AssertionError: assert not {'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_apples_on_the_trader_joes_list-0","laya","todo","put apples on the trader joes list","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","AssertionError: assert not {'todo.trader_joe_s': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_clean_the_kitchen_on_personal_tasks_list-0","laya","todo","Put clean the kitchen on personal tasks list","","","eval-test_expected_states","Bad","AssertionError: assert not {'climate.thermostat': {'expected': {'state': 'off'}, 'got': {'state': 'heat'}}, 'switch.coffee_maker': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_history_homework_on_my_task_list-0","laya","todo","Put history homework on my task list","","","eval-test_expected_states","Bad","AssertionError: assert not {'media_player.smart_speaker': {'expected': {'state': 'playing'}, 'got': {'state': 'idle'}}, 'switch.tv': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_history_homework_on_personal_tasks_list-0","laya","todo","Put history homework on personal tasks list","","","eval-test_expected_states","Bad","AssertionError: assert not {'media_player.smart_speaker': {'expected': {'state': 'playing'}, 'got': {'state': 'idle'}}, 'switch.tv': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'todo.personal_tasks': {'expected': {'state': '1'}, 'got': {'state': '0'}}}"
"dom1_pl_todo-put_milk_on_the_list-0","laya","todo","put milk on the list","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","Sorry, I could not understand that request.,? +++++"
"home1_us_cover_garage-close_the_garage_door-0","laya","cover","Close the garage door","","","eval-test_expected_states","Good",""
"home1_us_cover_garage-open_the_garage_door-0","laya","cover","Open the garage door","","","eval-test_expected_states","Good",""
"home1_us_cover_garage-please_open_the_garage_door-0","laya","cover","Please open the garage door","","","eval-test_expected_states","Good",""
"home1_us_smart_lock-lock_all_the_locks_please-0","laya","lock","Lock all the locks please","","I heard multiple requests. Please give one command at a time or configure a System 2 fallback agent.","eval-test_expected_states","Good",""
"home1_us_smart_lock-lock_the_door-0","laya","lock","Lock the door","","","eval-test_expected_states","Bad","AssertionError: assert not {'lock.smart_lock': {'expected': {'state': 'unlocked'}, 'got': {'state': 'locked'}}}"
"home1_us_smart_lock-lock_the_entry_lock-0","laya","lock","Lock the entry lock","","","eval-test_expected_states","Bad","AssertionError: assert not {'lock.smart_lock': {'expected': {'state': 'locked'}, 'got': {'state': 'unlocked'}}}"
"home1_us_smart_lock-lock_the_front_door_lock-0","laya","lock","Lock the front door lock","","","eval-test_expected_states","Good",""
"home1_us_smart_lock-lock_the_lock-0","laya","lock","Lock the lock","","Sorry, I could not understand that request.","eval-test_expected_states","Bad","Sorry, I could not understand that request.,? +++++"
"home1_us_smart_lock-lock_the_smart_lock-0","laya","lock","Lock the smart lock","","","eval-test_expected_states","Bad","AssertionError: assert not {'cover.garage_door_opener': {'expected': {'current_position': 0, 'state': 'closed'}, 'got': {'current_position': 100, 'state': 'open'}}, 'lock.smart_lock': {'expected': {'state': 'locked'}, 'got': {'state': 'unlocked'}}}"
"home1_us_smart_lock-unlock_all_the_doors-0","laya","lock","Unlock all the doors","","I heard multiple requests. Please give one command at a time or configure a System 2 fallback agent.","eval-test_expected_states","Good",""
"home1_us_smart_lock-unlock_the_entry_lock-0","laya","lock","Unlock the entry lock","","","eval-test_expected_states","Good",""
"home1_us_smart_lock-unlock_the_smart_lock-0","laya","lock","Unlock the smart lock","","Failed to call turn_on for: ['light.garage_door_opener']","eval-test_expected_states","Bad","AssertionError: assert not {'lock.smart_lock': {'expected': {'state': 'unlocked'}, 'got': {'state': 'locked'}}}"
"home1_us_vacuum-clean_the_living_room-0","laya","vacuum","Clean the living room","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.FEATURE: 6>, states=[], no_match_name=None, areas=[], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name=None, floor_name=None, domains={'vacuum'}, device_classes=None, features=<VacuumEntityFeature.CLEAN_AREA: 16384>, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id='living_room', floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'vacuum.roborock_downstairs': {'expected': {'state': 'cleaning'}, 'got': {'state': 'off'}}}"
"home1_us_vacuum-please_start_cleaning-0","laya","vacuum","Please start cleaning","","","eval-test_expected_states","Good",""
"home1_us_vacuum-return_roborock_downstairs_to_base-0","laya","vacuum","Return Roborock Downstairs to base","","<MatchFailedError result=MatchTargetsResult(is_match=False, no_match_reason=<MatchFailedReason.AREA: 2>, states=[], no_match_name=None, areas=[AreaEntry(name='Game Room', normalized_name='gameroom', created_at=datetime.datetime(2026, 9, 21, 15, 56, 48, 718471, tzinfo=datetime.timezone.utc), modified_at=datetime.datetime(2026, 9, 21, 15, 56, 48, 718472, tzinfo=datetime.timezone.utc), aliases=set(), floor_id=None, humidity_entity_id=None, icon=None, id='game_room', labels=set(), picture=None, temperature_entity_id=None, _cache={})], floors=[]), constraints=MatchTargetsConstraints(name=None, area_name='Game Room', floor_name=None, domains={'vacuum'}, device_classes=None, features=<VacuumEntityFeature.RETURN_HOME: 16>, states=None, assistant=None, allow_duplicate_names=False, single_target=False), preferences=MatchTargetsPreferences(area_id=None, floor_id=None)>","eval-test_expected_states","Bad","AssertionError: assert not {'vacuum.roborock_downstairs': {'expected': {'state': 'returning'}, 'got': {'state': 'cleaning'}}}"
