task_id,model_id,category,text,tool_call,response,task_name,label,details
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-0","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle dans la chambre d'amis est de 21°C, ce qui est inférieur à 23°C. Aucun ajustement n'est nécessaire.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-1","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, donc je ne réglerai pas la température cible à 22°C.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-2","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, donc je ne réglerai pas la température cible à 22°C.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-3","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, donc je ne réglerai pas la température cible à 22°C.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-4","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, donc je ne réglerai pas la température cible à 22°C.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-5","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, donc elle n'est pas supérieure à 23°C. Aucune action n'est nécessaire.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-6","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle dans la chambre d'amis est de 21°C, ce qui est inférieur à 23°C. Par conséquent, je ne réglerai pas la température cible à 22°C.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-7","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, ce qui est inférieur à 23°C. Aucun ajustement n'est nécessaire.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-8","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température actuelle de la chambre d'amis est de 21°C, donc je ne règle pas la température cible à 22°C.","eval-test_expected_states","Good",""
"suburban_familiy_home_be_climate-regler_la_temperature_cible_a_22_dans_la_chambre_d_amis_si_elle_est_superieure_a_23-9","devstral-2512","climate,question","Régler la température cible à 22 dans la chambre d'amis si elle est supérieure à 23","{'tool_name': 'GetLiveContext', 'tool_args': {}}","La température cible du thermostat dans la chambre d'amis a été réglée à 22 degrés.","eval-test_expected_states","Bad","AssertionError: assert not {'climate.guest_room_thermostat': {'expected': {'temperature': 21}, 'got': {'temperature': 22.0}}}"
