task_id,model_id,label,category,task_prefix,text,response,tool_call
"dom1_pl_lights_lights-dining_room_light_off","gemini-1.5-flash","Good","light","reports/assist","Dining room light off","OK.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'name': 'Dining Room Light'}}"
"dom1_pl_lights_lights-kitchen_light_off","gemini-1.5-flash","Good","light","reports/assist","Kitchen light off","OK. Turned off the Kitchen Light.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['light'], 'name': 'Kitchen Light'}}"
"dom1_pl_lights_lights-please_turn_on_the_kitchen_light","gemini-1.5-flash","Good","light","reports/assist","Please turn on the kitchen light","OK. I've turned on the kitchen light.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}"
"dom1_pl_lights_lights-turn_on_the_backyard_light","gemini-1.5-flash","Good","light","reports/assist","Turn on the Backyard light","OK. I've turned on the Backyard light.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Garden Light'}}"
"dom1_pl_lights_lights-turn_on_the_living_room_light","gemini-1.5-flash","Good","light","reports/assist","Turn on the living room light","OK. I've turned on the Living Room Light.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'name': 'Living Room Light'}}"
"dom1_pl_todo_todo-add_clean_the_kitchen_to_my_todo_list","gemini-1.5-flash","Good","todo","reports/assist","Add clean the kitchen to my todo list","OK. I've added 'clean the kitchen' to your Personal Tasks list.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'clean the kitchen'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_personal_tasks","gemini-1.5-flash","Good","todo","reports/assist","Add history homework to my personal tasks","OK. I've added history homework to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'name': 'Personal Tasks', 'item': 'history homework'}}"
"dom1_pl_todo_todo-add_history_homework_to_my_tasks","gemini-1.5-flash","Good","todo","reports/assist","Add history homework to my tasks","OK. I've added history homework to your personal tasks.","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'history homework', 'name': 'Personal Tasks'}}"
"dom1_pl_todo_todo-put_history_homework_on_personal_tasks_todo_list","gemini-1.5-flash","Bad","todo","reports/assist","Put history homework on personal tasks todo list","OK. What should I name the item?",""
"home1_us_cover_garage_cover_garage-close_the_garage_door","gemini-1.5-flash","Good","cover","reports/assist","Close the garage door","OK. Closing the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}"
"home1_us_cover_garage_cover_garage-open_the_garage_door","gemini-1.5-flash","Good","cover","reports/assist","Open the garage door","OK. I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_close_the_garage_door","gemini-1.5-flash","Good","cover","reports/assist","Please close the garage door","OK. Closing the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_cover_garage_cover_garage-please_open_the_garage_door","gemini-1.5-flash","Good","cover","reports/assist","Please open the garage door","OK. I've opened the garage door.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Garage Door Opener', 'domain': ['cover']}}"
"home1_us_lock_smart_lock-lock_smart_lock","gemini-1.5-flash","Good","lock","reports/assist","Lock smart lock","OK. I've locked the smart lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_lock_smart_lock-lock_the_entry_lock","gemini-1.5-flash","Good","lock","reports/assist","Lock the entry lock","OK. I've locked the smart lock in the entry.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}"
"home1_us_lock_smart_lock-unlock_smart_lock","gemini-1.5-flash","Good","lock","reports/assist","Unlock smart lock","OK. I've unlocked the smart lock.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}"
"home1_us_lock_smart_lock-unlock_the_entry_lock","gemini-1.5-flash","Good","lock","reports/assist","Unlock the entry lock","OK. I have unlocked the smart lock.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}"
"home1_us_vacuum_vacuum-return_roborock_downstairs_to_base","gemini-1.5-flash","Good","vacuum","reports/assist","Return Roborock Downstairs to base","OK. Roborock Downstairs is returning to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'name': 'Roborock Downstairs', 'domain': ['vacuum']}}"
"home1_us_vacuum_vacuum-return_vacuum_in_the_living_room_to_base","gemini-1.5-flash","Good","vacuum","reports/assist","Return vacuum in the living room to base","OK. Sent Roborock Downstairs in the Living Room back to its base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'area': 'Living Room', 'name': 'Roborock Downstairs'}}"
"home1_us_vacuum_vacuum-start_roborock_downstairs_vacuum","gemini-1.5-flash","Good","vacuum","reports/assist","Start Roborock Downstairs vacuum","OK. Starting Roborock Downstairs.","{'tool_name': 'HassVacuumStart', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}"
"home1_us_vacuum_vacuum-start_vacuum_in_the_living_room","gemini-1.5-flash","Good","vacuum","reports/assist","Start vacuum in the living room","OK. I've started the vacuum in the living room.","{'tool_name': 'HassVacuumStart', 'tool_args': {'area': 'Living Room', 'name': 'Roborock Downstairs'}}"
"home2_ru_valve_water_valve-close_the_front_yard_valve","gemini-1.5-flash","Good","valve","reports/assist","close the front yard valve","OK. I have closed the irrigation valve in the front yard.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-close_the_irrigation_valve","gemini-1.5-flash","Good","valve","reports/assist","close the irrigation valve","OK. I have closed the irrigation valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}"
"home2_ru_valve_water_valve-open_the_front_yard_valve","gemini-1.5-flash","Good","valve","reports/assist","open the front yard valve","OK. I've opened the front yard valve.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve'}}"
"home2_ru_valve_water_valve-open_the_irrigation_valve","gemini-1.5-flash","Good","valve","reports/assist","open the irrigation valve","OK. I've opened the irrigation valve.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}"
"home2_ru_valve_water_valve-set_the_irrigation_valve_to_50","gemini-1.5-flash","Good","valve","reports/assist","set the irrigation valve to 50%","OK. I've set the irrigation valve to 50%.","{'tool_name': 'HassSetPosition', 'tool_args': {'domain': ['valve'], 'name': 'Irrigation Valve', 'position': 50}}"
"home5_cn_fan_fan-turn_off_the_bedroom_1_fan","gemini-1.5-flash","Good","fan","reports/assist","Turn off the bedroom 1 fan","OK. Turned off the bedroom fan.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_off_the_bedroom_fan","gemini-1.5-flash","Good","fan","reports/assist","Turn off the bedroom fan","OK. Turned off the bedroom fan.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_1_fan","gemini-1.5-flash","Good","fan","reports/assist","Turn on the bedroom 1 fan","OK. I've turned on the bedroom 1 fan.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Bedroom Fan', 'domain': ['fan']}}"
"home5_cn_fan_fan-turn_on_the_bedroom_fan","gemini-1.5-flash","Good","fan","reports/assist","Turn on the bedroom fan","OK. I've turned on the bedroom fan.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': 'fan', 'name': 'Bedroom Fan'}}"
