task_id,model_id,category,text,tool_call,response,task_name,label,details
"door_left_open_door_left_open-door_left_open-0","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media player and media to play as the alert.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.entry_door`).\n2. **Alert Media**: Choose the media player (e.g., `media_player.living_room_speaker`) and the media to play (e.g., a sound file or TTS message).\n3. **Open Duration**: Set the duration (e.g., `00:30:00` for 30 minutes).\n\n### Example Use Cases:\n- Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint will trigger the alert only after the door has been open for the specified duration.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-0","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media player and media to play as the alert.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.entry_door`).\n2. **Alert Media**: Choose the media player (e.g., `media_player.living_room_speaker`) and the media to play (e.g., a sound file or TTS message).\n3. **Open Duration**: Set the duration (e.g., `00:30:00` for 30 minutes).\n\n### Example Use Cases:\n- Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint will trigger the alert only after the door has been open for the specified duration.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-1","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media player and media to play as the alert.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\ntrigger:\n  platform: state\n  entity_id: !input door_sensor\n  to: 'on'\n  for: !input open_duration\n\naction:\n  service: media_player.play_media\n  target:\n    entity_id: !input alert_media\n  data:\n    media_content_id: !input alert_media\n    media_content_type: 'music'\n```\n\n### How to Use:\n1. **Inputs**:\n   - `door_sensor`: Select the binary sensor for the door (e.g., `binary_sensor.entry_door`).\n   - `alert_media`: Select the media player and the alert sound or message to play.\n   - `open_duration`: Set the duration (e.g., `00:05:00` for 5 minutes).\n\n2. **Trigger**:\n   - The automation triggers when the door sensor changes to 'on' (open) and remains open for the specified duration.\n\n3. **Action**:\n   - The selected media is played on the chosen media player.\n\n### Example Use Cases:\n- **Garage Door**: Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- **Front Door**: Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint is flexible and can be adapted for any door sensor and media player in your setup.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-1","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media player and media to play as the alert.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\ntrigger:\n  platform: state\n  entity_id: !input door_sensor\n  to: 'on'\n  for: !input open_duration\n\naction:\n  service: media_player.play_media\n  target:\n    entity_id: !input alert_media\n  data:\n    media_content_id: !input alert_media\n    media_content_type: 'music'\n```\n\n### How to Use:\n1. **Inputs**:\n   - `door_sensor`: Select the binary sensor for the door (e.g., `binary_sensor.entry_door`).\n   - `alert_media`: Select the media player and the alert sound or message to play.\n   - `open_duration`: Set the duration (e.g., `00:05:00` for 5 minutes).\n\n2. **Trigger**:\n   - The automation triggers when the door sensor changes to 'on' (open) and remains open for the specified duration.\n\n3. **Action**:\n   - The selected media is played on the chosen media player.\n\n### Example Use Cases:\n- **Garage Door**: Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- **Front Door**: Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint is flexible and can be adapted for any door sensor and media player in your setup.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-2","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media to play on the speaker.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.front_door`).\n2. **Alert Media**: Choose the media player and the media file or URL to play (e.g., a sound file or TTS message).\n3. **Open Duration**: Set the duration (e.g., `00:05:00` for 5 minutes).\n\n### Example Use Cases:\n- **Garage Door**: Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- **Front Door**: Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint will trigger the alert only after the door has been open for the specified duration.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-2","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media to play on the speaker.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.front_door`).\n2. **Alert Media**: Choose the media player and the media file or URL to play (e.g., a sound file or TTS message).\n3. **Open Duration**: Set the duration (e.g., `00:05:00` for 5 minutes).\n\n### Example Use Cases:\n- **Garage Door**: Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- **Front Door**: Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint will trigger the alert only after the door has been open for the specified duration.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-3","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media to play on the speaker.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.front_door`).\n2. **Alert Media**: Choose the media player and the alert sound or message to play (e.g., a TTS message or a sound file).\n3. **Open Duration**: Set the duration (e.g., `00:05:00` for 5 minutes or `00:30:00` for 30 minutes).\n\n### Example Use Cases:\n- **Garage Door**: Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- **Front Door**: Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint will trigger the alert only after the door has been open for the specified duration.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-3","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media to play on the speaker.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.front_door`).\n2. **Alert Media**: Choose the media player and the alert sound or message to play (e.g., a TTS message or a sound file).\n3. **Open Duration**: Set the duration (e.g., `00:05:00` for 5 minutes or `00:30:00` for 30 minutes).\n\n### Example Use Cases:\n- **Garage Door**: Play a message on the living room speaker if the garage door is left open for 30 minutes.\n- **Front Door**: Play a sound on the kitchen speaker if the front door is ajar for 5 minutes.\n\nThis blueprint will trigger the alert only after the door has been open for the specified duration.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
"door_left_open_door_left_open-door_left_open-4","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media to play on the speaker when the door is left open.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.entry_door`).\n2. **Alert Media**: Choose the media player and the media file or URL to play (e.g., a sound file or TTS message).\n3. **Open Duration**: Set the duration (e.g., `00:05:00` for 5 minutes or `00:30:00` for 30 minutes).\n\n### Example Use Cases:\n- **Garage Door**: If the garage door is left open for 30 minutes, play an alert on the living room speaker.\n- **Front Door**: If the front door is ajar for 5 minutes, play a sound on the kitchen speaker.\n\nThis blueprint ensures the alert only plays after the door has been open for the specified duration.","door_left_open-test_blueprint_inputs","Good",""
"door_left_open_door_left_open-door_left_open-4","devstral-2512","media_player","# Door left open\n\n## Problem statement\n\nCreate an blueprint automation to play an alert on the speaker when the door is\nleft open.\n\n## Example use cases\n\nThese are example use cases that could be used with the blueprint:\n\n- Play an message on the living room speaker if the garage door has been left open for more than 30 minutes\n- When the front door is ajar for 5 minutes, play a sound on the kitchen bluetooth speaker.\n\n## Detailed Description\n\nThe blueprint should accept two inputs:\n\n| Input           | Selector Type | Description                                                                           |\n| --------------- | ------------- | ------------------------------------------------------------------------------------- |\n| `door_sensor`   | `entity`      | A `binary_sensor` entity selector door sensor that is the target of the automation.   |\n| `alert_media`   | `media`       | The target for the `media` selector for the media player and media id with the alter. |\n| `open_duration` | `duration`    | A `duration` selector, the amount of time before playing the alert.                   |\n\nThe automation should play the selected media when the door has been open for the specified duration.\n","","Here’s a blueprint automation for playing an alert on a speaker when a door is left open:\n\n```yaml\nblueprint:\n  name: Door Left Open Alert\n  description: Play an alert on a speaker when a door is left open for a specified duration.\n  domain: automation\n  input:\n    door_sensor:\n      name: Door Sensor\n      description: The binary sensor representing the door.\n      selector:\n        entity:\n          domain: binary_sensor\n          device_class: door\n    alert_media:\n      name: Alert Media\n      description: The media to play on the speaker when the door is left open.\n      selector:\n        media:\n    open_duration:\n      name: Open Duration\n      description: The duration the door must be open before playing the alert.\n      selector:\n        duration:\n\nmode: single\ntrigger:\n  - platform: state\n    entity_id: !input door_sensor\n    to: 'on'\n    for: !input open_duration\n\naction:\n  - service: media_player.play_media\n    target:\n      entity_id: !input alert_media\n    data:\n      media_content_id: !input alert_media\n      media_content_type: 'music'\n```\n\n### How to Use:\n1. **Door Sensor**: Select the binary sensor representing the door (e.g., `binary_sensor.entry_door`).\n2. **Alert Media**: Choose the media player and the media file or URL to play (e.g., a sound file or TTS message).\n3. **Open Duration**: Set the duration (e.g., `00:05:00` for 5 minutes or `00:30:00` for 30 minutes).\n\n### Example Use Cases:\n- **Garage Door**: If the garage door is left open for 30 minutes, play an alert on the living room speaker.\n- **Front Door**: If the front door is ajar for 5 minutes, play a sound on the kitchen speaker.\n\nThis blueprint ensures the alert only plays after the door has been open for the specified duration.","door_left_open-test_door_open_plays_media","Bad","AssertionError: Unable to load automation."
