task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-eetkamerlamp_uit-0","devstral-2512","light","Eetkamerlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Eetkamerlamp', 'domain': ['light']}}","De Eetkamerlamp is uitgeschakeld.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-eetkamerlamp_uit-1","devstral-2512","light","Eetkamerlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Eetkamerlamp', 'domain': ['light']}}","De Eetkamerlamp is uitgeschakeld.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-eetkamerlamp_uit-2","devstral-2512","light","Eetkamerlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Eetkamerlamp', 'domain': ['light']}}","De Eetkamerlamp is uitgeschakeld.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-eetkamerlamp_uit-3","devstral-2512","light","Eetkamerlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Eetkamerlamp', 'domain': ['light']}}","De Eetkamerlamp is uitgedaan.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-keukenlamp_uit-0","devstral-2512","light","Keukenlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De Keukenlamp is uitgeschakeld.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-keukenlamp_uit-1","devstral-2512","light","Keukenlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","Keukenlamp is uitgeschakeld.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-keukenlamp_uit-2","devstral-2512","light","Keukenlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De Keukenlamp is nu uit.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-keukenlamp_uit-3","devstral-2512","light","Keukenlamp uit","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De Keukenlamp is uitgeschakeld.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-zet_alsjeblieft_de_keukenlamp_aan-0","devstral-2512","light","Zet alsjeblieft de keukenlamp aan","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-zet_alsjeblieft_de_keukenlamp_aan-1","devstral-2512","light","Zet alsjeblieft de keukenlamp aan","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
