task_id,model_id,label,category,task_prefix,text,response,tool_call,details
"dom1_pl_lights-please_turn_on_the_kitchen_light","gemini-2.0-flash-lite","Good","light","reports/assist/2025.4.1/gemini","Please turn on the kitchen light","OK.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Kitchen Light', 'domain': ['light']}}",""
"home1_us_vacuum-return_roborock_downstairs_to_base","gemini-2.0-flash-lite","Good","vacuum","reports/assist/2025.4.1/gemini","Return Roborock Downstairs to base","OK. Returning Roborock Downstairs to base.","{'tool_name': 'HassVacuumReturnToBase', 'tool_args': {'domain': ['vacuum'], 'name': 'Roborock Downstairs'}}",""
"home1_us_smart_lock-lock_the_front_door_lock","gemini-2.0-flash-lite","Good","lock","reports/assist/2025.4.1/gemini","Lock the front door lock","OK, I've locked the Smart Lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Lock', 'domain': ['lock']}}",""
"home7_dk_media_player-unpause_the_outdoor_speakers","gemini-2.0-flash-lite","Good","media-player","reports/assist/2025.4.1/gemini","Unpause the Outdoor Speakers","OK. I've unpaused the Outdoor Speakers.","{'tool_name': 'HassMediaUnpause', 'tool_args': {'area': 'Rooftop Terrace', 'name': 'Outdoor Speakers', 'domain': ['media_player']}}",""
"home1_us_cover_garage-close_the_garage_door","gemini-2.0-flash-lite","Good","cover","reports/assist/2025.4.1/gemini","Close the garage door","OK. I've closed the garage door.","{'tool_name': 'HassTurnOff', 'tool_args': {'domain': ['cover'], 'name': 'Garage Door Opener'}}",""
"home1_us_smart_lock-lock_the_smart_lock","gemini-2.0-flash-lite","Good","lock","reports/assist/2025.4.1/gemini","Lock the smart lock","OK. I've locked the smart lock.","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['lock'], 'name': 'Smart Lock'}}",""
"home1_us_vacuum-stop_roborock_downstairs","gemini-2.0-flash-lite","Bad","vacuum","reports/assist/2025.4.1/gemini","Stop Roborock Downstairs","I can't stop the vacuum, but I can return it to base. Do you want to do that?","","AssertionError: Unexpected states but the task is not changing state: home1_us_vacuum-stop_roborock_downstairs,assert not {'vacuum.roborock_downstairs': {'expected': {'state': 'returning'}, 'got': {'state': 'cleaning'}}}"
"home2_ru_water_valve-close_the_irrigation_valve","gemini-2.0-flash-lite","Good","valve","reports/assist/2025.4.1/gemini","close the irrigation valve","OK. I've closed the irrigation valve.","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Irrigation Valve', 'domain': ['valve']}}",""
"home2_ru_water_valve-turn_on_the_water_in_the_front_yard","gemini-2.0-flash-lite","Bad","valve","reports/assist/2025.4.1/gemini","turn on the water in the front yard","OK. I've turned on the irrigation valve in the front yard.","{'tool_name': 'HassTurnOn', 'tool_args': {'device_class': ['water'], 'area': 'Front yard'}}","AssertionError: Unexpected states but the task is not changing state: home2_ru_water_valve-turn_on_the_water_in_the_front_yard,assert not {'valve.irrigation_valve': {'expected': {'current_position': 100, 'state': 'open'}, 'got': {'current_position': 0, 'state': 'closed'}}}"
"home7_dk_cover_curtain-open_the_living_room_curtains","gemini-2.0-flash-lite","Good","cover","reports/assist/2025.4.1/gemini","Open the living room curtains","OK. I've opened the Smart Curtain in the Living Room.","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Smart Curtain', 'area': 'Living Room', 'domain': ['cover']}}",""
