task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights-doe_alle_lampen_boven_aan-0","devstral-2512","light","Doe alle lampen boven aan","","Er zijn lampen in de volgende slaapkamers: Slaapkamer 1, Slaapkamer 2, Slaapkamer 3 en Slaapkamer 4. In welke slaapkamer of slaapkamers wil je de lampen aan doen?","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-doe_alle_lampen_boven_aan-1","devstral-2512","light","Doe alle lampen boven aan","","Er zijn lampen in de volgende gebieden: Eetkamer, Keuken, Slaapkamer 1, Slaapkamer 2, Slaapkamer 3, Slaapkamer 4, Woonkamer, en Achtertuin. In welk gebied wil je de lampen aanzetten?","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-doe_alle_lampen_boven_aan-2","devstral-2512","light","Doe alle lampen boven aan","","Er zijn geen lampen in een gebied genaamd 'boven'. Hier zijn de lampen die beschikbaar zijn:\n\n- Eetkamerlamp (Eetkamer)\n- Keukenlamp (Keuken)\n- Slaapkamer 1 Lamp (Slaapkamer 1)\n- Slaapkamer 2 Lamp (Slaapkamer 2)\n- Slaapkamer 3 Lamp (Slaapkamer 3)\n- Slaapkamer 4 Lamp (Slaapkamer 4)\n- Tuinlamp (Achtertuin)\n- Woonkamerlamp (Woonkamer)\n\nIn welk gebied wil je de lampen aanzetten?","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-doe_alle_lampen_boven_aan-3","devstral-2512","light","Doe alle lampen boven aan","","Er zijn lampen in de eetkamer, keuken, slaapkamer 1, slaapkamer 2, slaapkamer 3, slaapkamer 4, woonkamer, en achtertuin. Welke lampen bedoel je precies?","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-doe_alle_lampen_boven_aan-4","devstral-2512","light","Doe alle lampen boven aan","","Er zijn lampen in de volgende gebieden: Eetkamer, Keuken, Slaapkamer 1, Slaapkamer 2, Slaapkamer 3, Slaapkamer 4, Woonkamer, en Achtertuin. In welk gebied wil je alle lampen aanzetten?","eval-test_expected_states","Bad","AssertionError: assert not {'light.bedroom_2_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_3_light': {'expected'...ate': 'on'}, 'got': {'state': 'off'}}, 'light.bedroom_4_light': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"dom1_pl_lights-doe_de_keukenlamp_aan_alsjeblieft-0","devstral-2512","light","Doe de keukenlamp aan alsjeblieft","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
"dom1_pl_lights-doe_de_keukenlamp_aan_alsjeblieft-1","devstral-2512","light","Doe de keukenlamp aan alsjeblieft","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
"dom1_pl_lights-doe_de_keukenlamp_aan_alsjeblieft-2","devstral-2512","light","Doe de keukenlamp aan alsjeblieft","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
"dom1_pl_lights-doe_de_keukenlamp_aan_alsjeblieft-3","devstral-2512","light","Doe de keukenlamp aan alsjeblieft","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
"dom1_pl_lights-doe_de_keukenlamp_aan_alsjeblieft-4","devstral-2512","light","Doe de keukenlamp aan alsjeblieft","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Keukenlamp', 'domain': ['light']}}","De keukenlamp is nu aan.","eval-test_expected_states","Good",""
