task_id,model_id,category,text,tool_call,response,task_name,label,details
"dom1_pl_lights_lights-bitte_schalte_das_kuchenlicht_ein-0","devstral-2512","light","Bitte schalte das Küchenlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-bitte_schalte_das_kuchenlicht_ein-1","devstral-2512","light","Bitte schalte das Küchenlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-bitte_schalte_das_kuchenlicht_ein-2","devstral-2512","light","Bitte schalte das Küchenlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-bitte_schalte_das_kuchenlicht_ein-3","devstral-2512","light","Bitte schalte das Küchenlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-esszimmerlicht_aus-0","devstral-2512","light","Esszimmerlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Esszimmerlicht', 'domain': ['light']}}","Das Esszimmerlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-esszimmerlicht_aus-1","devstral-2512","light","Esszimmerlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Esszimmerlicht', 'domain': ['light']}}","Das Esszimmerlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-esszimmerlicht_aus-2","devstral-2512","light","Esszimmerlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Esszimmerlicht', 'domain': ['light']}}","Das Esszimmerlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-esszimmerlicht_aus-3","devstral-2512","light","Esszimmerlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Esszimmerlicht', 'domain': ['light']}}","Das Esszimmerlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kuchenlicht_aus-0","devstral-2512","light","Küchenlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kuchenlicht_aus-1","devstral-2512","light","Küchenlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kuchenlicht_aus-2","devstral-2512","light","Küchenlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-kuchenlicht_aus-3","devstral-2512","light","Küchenlicht aus","{'tool_name': 'HassTurnOff', 'tool_args': {'name': 'Küchenlicht', 'domain': ['light']}}","Das Küchenlicht ist jetzt aus.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_das_wohnzimmerlicht_ein-0","devstral-2512","light","Schalte das Wohnzimmerlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Das Wohnzimmerlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_das_wohnzimmerlicht_ein-1","devstral-2512","light","Schalte das Wohnzimmerlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Wohnzimmerlicht', 'domain': ['light']}}","Das Wohnzimmerlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_das_wohnzimmerlicht_ein-2","devstral-2512","light","Schalte das Wohnzimmerlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Wohnzimmerlicht', 'domain': ['light']}}","Das Wohnzimmerlicht ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_das_wohnzimmerlicht_ein-3","devstral-2512","light","Schalte das Wohnzimmerlicht ein","{'tool_name': 'HassTurnOn', 'tool_args': {'domain': ['light'], 'area': 'Wohnzimmer'}}","Das Wohnzimmerlicht wurde eingeschaltet.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_die_gartenbeleuchtung_ein-0","devstral-2512","light","Schalte die Gartenbeleuchtung ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Gartenbeleuchtung', 'domain': ['light']}}","Die Gartenbeleuchtung ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_die_gartenbeleuchtung_ein-1","devstral-2512","light","Schalte die Gartenbeleuchtung ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Gartenbeleuchtung', 'domain': ['light']}}","Die Gartenbeleuchtung ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_die_gartenbeleuchtung_ein-2","devstral-2512","light","Schalte die Gartenbeleuchtung ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Gartenbeleuchtung', 'domain': ['light']}}","Die Gartenbeleuchtung ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_lights_lights-schalte_die_gartenbeleuchtung_ein-3","devstral-2512","light","Schalte die Gartenbeleuchtung ein","{'tool_name': 'HassTurnOn', 'tool_args': {'name': 'Gartenbeleuchtung', 'domain': ['light']}}","Die Gartenbeleuchtung ist jetzt an.","eval-test_expected_states","Good",""
"dom1_pl_todo_todo-fuge_die_geschichtshausaufgaben_zu_meinen_aufgaben_hinzu-0","devstral-2512","todo","Füge die Geschichtshausaufgaben zu meinen Aufgaben hinzu","{'tool_name': 'HassListAddItem', 'tool_args': {'item': 'Geschichtshausaufgaben', 'name': 'Persönliche Aufgaben'}}","Die Geschichtshausaufgaben wurden zu deinen persönlichen Aufgaben hinzugefügt.","eval-test_expected_states","Good",""
