model_id,label,device_type,text,response,tool_call,entity_diff
gemini-1.5-flash/home2-ru-water-valve.yaml
"gemini-1.5-flash","Bad","water-valve","open the front yard valve","Ok. I've opened the Irrigation Valve. 
","{'tool_name': 'HassOpenCover', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{'valve.irrigation_valve': {'expected': {'current_position': 100, 'state': 'open'}, 'got': {'current_position': 0, 'state': 'closed'}}}"
"gemini-1.5-flash","Bad","water-valve","open the irrigation valve","Ok. Opened Irrigation Valve. 
","{'tool_name': 'HassOpenCover', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{'valve.irrigation_valve': {'expected': {'current_position': 100, 'state': 'open'}, 'got': {'current_position': 0, 'state': 'closed'}}}"
"gemini-1.5-flash","Good","water-valve","turn on the water in the front yard","OK. I've turned on the water in the front yard. 
","{'tool_name': 'HassTurnOn', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{}"
"gemini-1.5-flash","Good","water-valve","water the front yard","Ok. I have turned on the Irrigation Valve. 
","{'tool_name': 'HassTurnOn', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{}"
"gemini-1.5-flash","Good","water-valve","water the garden","OK. I've started watering the garden. 
","{'tool_name': 'HassTurnOn', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{}"
"gemini-1.5-flash","Good","water-valve","close the front yard valve","Ok, I've closed the front yard valve. 
","{'tool_name': 'HassSetPosition', 'tool_args': '{'position': 0.0, 'domain': 'valve', 'name': 'Irrigation Valve'}'}","{}"
"gemini-1.5-flash","Bad","water-valve","close the irrigation valve","Done. 
","{'tool_name': 'HassCloseCover', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{'valve.irrigation_valve': {'expected': {'current_position': 0, 'state': 'closed'}, 'got': {'current_position': 100, 'state': 'open'}}}"
"gemini-1.5-flash","Good","water-valve","turn off the water in the front yard","Ok. I turned off the water in the front yard. 
","{'tool_name': 'HassTurnOff', 'tool_args': '{'domain': 'valve', 'name': 'Irrigation Valve'}'}","{}"
"gemini-1.5-flash","Good","water-valve","set the irrigation valve to 50%","OK. I've set the Irrigation Valve to 50%. 
","{'tool_name': 'HassSetPosition', 'tool_args': '{'area': 'Front yard', 'position': 50.0, 'domain': 'valve', 'name': 'Irrigation Valve'}'}","{}"
gemini-1.5-flash/home7-dk-media-player.yaml
"gemini-1.5-flash","Good","media-player","Pause Outdoor Speakers","Ok. I've paused the Outdoor Speakers. 
","{'tool_name': 'HassMediaPause', 'tool_args': '{'domain': 'media_player', 'name': 'Outdoor Speakers'}'}","{}"
"gemini-1.5-flash","Good","media-player","Pause the music","Ok. 
","{'tool_name': 'HassMediaPause', 'tool_args': '{'domain': 'media_player', 'name': 'Outdoor Speakers'}'}","{}"
"gemini-1.5-flash","Good","media-player","Pause the music outside","Done. 
","{'tool_name': 'HassMediaPause', 'tool_args': '{'domain': 'media_player', 'name': 'Outdoor Speakers'}'}","{}"
"gemini-1.5-flash","Good","media-player","Pause the Rooftop Terrace music","Done. 
","{'tool_name': 'HassMediaPause', 'tool_args': '{'domain': 'media_player', 'name': 'Outdoor Speakers'}'}","{}"
"gemini-1.5-flash","Good","media-player","Stop the Outdoor Speakers","Done. 
","{'tool_name': 'HassMediaPause', 'tool_args': '{'domain': 'media_player', 'name': 'Outdoor Speakers'}'}","{}"
