model_id,task_prefix,category,label,text,response,tool_call,entity_diff
"home-llm","intents_en_light_hasslightset","light","Bad","change bedroom lamp to 50%","lowering the brightness of bedroom lamp to 50%.","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.set_brightness', 'target_device': 'light.bedroom_lamp', 'brightness': 127}}","{'light.bedroom_lamp': {'expected': {'brightness': 128}, 'got': {'brightness': 102}}}"
"home-llm","home7_dk_media_player","media-player","Bad","Pause the Rooftop Terrace music","stopping Rooftop Terrace now","{'tool_name': 'HassCallService', 'tool_args': {'service': 'media_player.pause', 'target_device': 'media_player.rooftop_terrace'}}","{'media_player.outdoor_speakers': {'expected': {'state': 'paused'}, 'got': {'state': 'playing'}}}"
"home-llm","intents_en_homeassistant_hassturnoff","turn_on_off","Good","turn off the bedroom lamp","deactivating Bedroom Lamp as requested","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.bedroom_lamp'}}","{}"
"home-llm","home5_cn_fan","fan","Good","Turn on the bedroom 1 fan","activating bedroom 1 fan now","{'tool_name': 'HassCallService', 'tool_args': {'service': 'fan.turn_on', 'target_device': 'fan.bedroom_fan'}}","{}"
"home-llm","intents_en_light_hasslightset","light","Bad","bedroom brightness 50%","lowering the bedroom brightness to 50%.","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.bedroom_lamp'}}","{'light.bedroom_lamp': {'expected': {'color_mode': <ColorMode.BRIGHTNESS: 'brightness'>, 'brightness': 128, 'state': 'on'}, 'got': {'color_mode': None, 'brightness': None, 'state': 'off'}}}"
"home-llm","intents_en_fan_hassturnoff","fan","Good","deactivate living room fans","turning off the fan as requested.","{'tool_name': 'HassCallService', 'tool_args': {'service': 'fan.turn_off', 'target_device': 'fan.ceiling'}}","{}"
"home-llm","intents_en_homeassistant_hassturnoff","turn_on_off","Good","turn the bedroom lamp off","switching off Bedroom Lamp now","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.bedroom_lamp'}}","{}"
"home-llm","intents_en_light_hassturnon","light","Bad","turn on the lights in the living room","activating Living Room Lamp","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_on', 'target_device': 'light.living_room_lamp'}}","{'light.play_corner': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"home-llm","intents_en_light_hassturnon","light","Bad","turn on all the lights in living room","activating Living Room Lamp","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_on', 'target_device': 'light.living_room_lamp'}}","{'light.play_corner': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"home-llm","intents_en_light_hassturnoff","light","Bad","turn off the kitchen light","deactivating Kitchen ceiling as requested","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.kitchen_ceiling'}}","{'light.kitchen_countertop': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.kitchen_cabinets': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"home-llm","intents_en_light_hassturnon","light","Bad","Turn on all the lights on the first floor","turning on light for you","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_on', 'target_device': 'light.bedroom_lamp'}}","{'light.bedroom_lamp': {'expected': {'color_mode': None, 'state': 'off'}, 'got': {'color_mode': <ColorMode.UNKNOWN: 'unknown'>, 'state': 'on'}}, 'light.kitchen_countertop': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.kitchen_ceiling': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.kitchen_cabinets': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.living_room_lamp': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.garage': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}, 'light.play_corner': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"home-llm","intents_en_light_hassturnoff","light","Bad","turn off all the lights in the kitchen","deactivating all the lights in the kitchen area as requested","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.kitchen_ceiling'}}","{'light.kitchen_countertop': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.kitchen_cabinets': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"home-llm","intents_en_light_hassturnoff","light","Bad","turn the lights in the kitchen off","deactivating Kitchen countertop as requested","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.kitchen_countertop'}}","{'light.kitchen_cabinets': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"home-llm","intents_en_light_hasslightset","light","Bad","set the bedroom brightness to the minimum","setting bedroom's brightness level to 10%.","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_on', 'target_device': 'light.bedroom_lamp', 'brightness': 25}}","{'light.bedroom_lamp': {'expected': {'brightness': 3}, 'got': {'brightness': 25}}}"
"home-llm","home7_dk_cover_curtain","cover","Bad","Open the living room curtains","lifting the living room curtains for you","{'tool_name': 'HassCallService', 'tool_args': {'service': 'cover.open', 'target_device': 'cover.smart_curtain'}}","{'cover.smart_curtain': {'expected': {'state': 'open'}, 'got': {'state': 'closed'}}}"
"home-llm","intents_en_light_hassturnon","light","Bad","turn on all the living room lights","activating Living Room Lamp","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_on', 'target_device': 'light.living_room_lamp'}}","{'light.play_corner': {'expected': {'state': 'on'}, 'got': {'state': 'off'}}}"
"home-llm","home7_dk_media_player","media-player","Bad","Stop the music","stopping playback on media_player.","{'tool_name': 'HassCallService', 'tool_args': {'service': 'media_player.stop', 'target_device': 'media_player.outdoor_speakers'}}","{'media_player.outdoor_speakers': {'expected': {'state': 'paused'}, 'got': {'state': 'playing'}}}"
"home-llm","intents_en_light_hassturnoff","light","Bad","Deactivate all first floor lights","turning off light as requested","{'tool_name': 'HassCallService', 'tool_args': {'service': 'light.turn_off', 'target_device': 'light.bedroom_lamp'}}","{'light.kitchen_countertop': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.kitchen_cabinets': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.living_room_lamp': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}, 'light.play_corner': {'expected': {'state': 'off'}, 'got': {'state': 'on'}}}"
"home-llm","intents_en_homeassistant_hassturnon","turn_on_off","Good","ceiling fan on","starting Ceefer for you","{'tool_name': 'HassCallService', 'tool_args': {'service': 'fan.turn_on', 'target_device': 'fan.ceiling'}}","{}"
"home-llm","dom1_pl_todo","todo","Good","Put history homework on personal tasks list","successfully added history homework to your tasks.","{'tool_name': 'HassCallService', 'tool_args': {'service': 'todo.add_item', 'target_device': 'todo.personal_tasks', 'item': 'History homework'}}","{}"
"home-llm","home7_dk_media_player","media-player","Bad","Unpause the Outdoor Speakers","stopping outdoor speakers now","{'tool_name': 'HassCallService', 'tool_args': {'service': 'media_player.pause', 'target_device': 'media_player.outdoor_speakers'}}","{'media_player.outdoor_speakers': {'expected': {'state': 'playing'}, 'got': {'state': 'paused'}}}"
"home-llm","home7_dk_media_player","media-player","Bad","Pause the music outside","stopping playback on Outdoor Speakers now","{'tool_name': 'HassCallService', 'tool_args': {'service': 'media_player.media_pause', 'target_device': 'media_player.outdoor_speakers'}}","{'media_player.outdoor_speakers': {'expected': {'state': 'paused'}, 'got': {'state': 'playing'}}}"
